ΑΜΚΑ_ΑΣΘΕΝΗ,ΚΩΔΙΚΟΣ_ΠΡΑΞΗΣ,ΗΜΕΡΟΜΗΝΙΑ_ΩΡΑ,ΑΙΘΟΥΣΑ,ΑΜΚΑ_ΙΑΤΡΟΥ,ΚΩΔΙΚΟΣ_ΝΟΣΗΛΕΙΑΣ
04027739767,A403799.19,2025-06-08 07:22:33,Αίθουσα Επέμβασης 4,15039665806,13935
18034949922,K514149.7,2025-07-07 11:30:04,Χειρουργείο 3,10127855123,27353
12093185343,X628161,2024-01-22 08:01:36,Χειρουργείο 1,06017832098,17851
03113266213,X656161,2024-12-28 13:04:16,Χειρουργείο 3,23038301805,9319
29113586737,K508483,2025-03-13 09:50:03,Αίθουσα Επέμβασης 3,11028804475,1833
19043804420,Β311905.173,2025-12-13 01:00:03,Χειρουργείο 5,22069080015,22846
17089315117,K511625,2025-06-29 21:13:27,Χειρουργείο 1,01068388909,7273
10114835444,X627289,2026-10-09 04:49:05,Αίθουσα Επέμβασης 1,28058685920,14607
24093211367,A400441,2026-08-30 00:22:34,Χειρουργείο 3,04037503050,23083
01096641025,K512183,2026-03-04 02:51:46,Αίθουσα Επέμβασης 4,22056024879,3014
12076135954,X715771,2026-12-06 02:14:07,Χειρουργείο 3,02036522626,26884
07079879985,X629291,2026-08-27 20:31:31,Αίθουσα Επέμβασης 5,01068388909,16715
23047312568,X685161,2025-05-26 20:18:23,Αίθουσα Επέμβασης 4,18067010293,16151
12097545671,K517379,2026-04-28 14:13:23,Αίθουσα Επέμβασης 5,27038876062,15639
28023594507,B310737,2024-11-05 21:06:05,Χειρουργείο 5,19049805360,26127
09098437486,K518381,2026-01-29 17:10:44,Αίθουσα Επέμβασης 1,25078560613,16134
08028173944,X642061,2025-10-01 07:19:50,Αίθουσα Επέμβασης 1,22046863505,1443
11127879493,X633937.248,2024-05-13 09:13:27,Χειρουργείο 2,06067129338,6854
21020530111,B316403,2025-07-03 09:08:03,Αίθουσα Επέμβασης 3,28027843113,7666
25022542708,X623179,2025-05-04 12:07:10,Χειρουργείο 4,17059777666,29602
18106853667,A401641,2026-10-31 08:42:33,Χειρουργείο 4,26026494790,29670
29093888173,X670627,2026-10-30 14:46:54,Χειρουργείο 1,22029134563,8718
14023784775,X709761,2025-01-30 22:51:10,Αίθουσα Επέμβασης 4,16108629101,2349
22117944924,Β311905.171,2026-02-12 02:33:28,Αίθουσα Επέμβασης 5,16049105631,8355
08078699710,Β311905.125,2025-11-14 13:21:01,Αίθουσα Επέμβασης 3,06017832098,10063
11048905152,X633937.6,2025-09-10 01:35:21,Αίθουσα Επέμβασης 4,12057413455,1932
31089931569,B313605.183,2024-07-09 23:38:59,Χειρουργείο 2,08038064163,22005
07033918162,X646789,2024-03-01 20:45:45,Χειρουργείο 5,17059777666,2796
30082467367,X633937.205,2025-08-02 16:40:14,Αίθουσα Επέμβασης 1,25087114134,15015
04066898843,X697303,2025-11-10 05:19:44,Αίθουσα Επέμβασης 3,24107406710,26754
15122299776,X645165,2024-02-11 12:41:34,Χειρουργείο 5,13128886585,13110
26105215456,X606223,2025-08-19 19:00:11,Αίθουσα Επέμβασης 4,27119559754,24148
30088968134,X682019,2024-12-01 09:50:00,Χειρουργείο 2,15128940931,28259
02099330560,X634497,2025-02-04 15:46:26,Χειρουργείο 2,21037222305,23457
08129990668,K514149.8,2026-05-27 23:31:27,Αίθουσα Επέμβασης 3,11019339247,26642
19050205919,X706341,2024-11-22 07:24:11,Χειρουργείο 1,01109198508,23095
13050031708,X635743,2024-04-24 06:27:01,Αίθουσα Επέμβασης 3,29018364310,13054
06117291642,B308207,2024-12-29 19:40:49,Αίθουσα Επέμβασης 5,08066384048,5317
22053099270,A400121,2025-01-26 08:48:17,Χειρουργείο 4,27116381556,8283
11080094374,X638479,2026-10-11 01:54:03,Αίθουσα Επέμβασης 4,25126627516,29334
04056759580,X651267,2025-12-29 01:05:24,Αίθουσα Επέμβασης 2,10066642723,28147
03092256497,B316705.125,2026-06-26 04:58:04,Αίθουσα Επέμβασης 4,17019408693,14786
16128914885,X630111,2026-01-03 04:22:47,Αίθουσα Επέμβασης 4,22056024879,17882
01021126511,X634619,2026-07-22 14:49:57,Αίθουσα Επέμβασης 4,20056259580,3729
14091993726,B316705.74,2024-03-14 22:33:03,Αίθουσα Επέμβασης 5,06066504974,6001
04085943909,X633937.48,2025-10-18 05:22:26,Χειρουργείο 3,27028634014,29882
20101380994,K512975.38,2026-11-18 10:45:56,Χειρουργείο 2,15128940931,16208
21028489618,X670627,2026-07-15 00:29:39,Χειρουργείο 1,25059138149,10829
21027215167,X655169,2026-10-06 08:04:32,Αίθουσα Επέμβασης 3,27028634014,25832
01042094924,X680689,2026-09-14 00:42:10,Χειρουργείο 3,11029101695,23766
01080983981,X684407,2025-12-13 17:34:03,Χειρουργείο 1,12087368022,26539
02068127263,B313605.138,2025-02-24 05:17:40,Αίθουσα Επέμβασης 3,19119585662,25517
12079385494,B316667,2025-07-21 15:17:57,Χειρουργείο 3,30037959532,22395
12105512918,X712269,2024-07-29 18:09:59,Αίθουσα Επέμβασης 4,24128760642,26025
08058092015,B304617,2024-02-03 08:25:10,Χειρουργείο 5,30037959532,17175
08067694159,A402025,2024-01-03 03:08:51,Χειρουργείο 1,26086400932,7201
03109010360,A403723,2024-10-09 09:12:17,Αίθουσα Επέμβασης 3,17098211492,914
22099140648,X702645,2026-05-28 03:35:09,Αίθουσα Επέμβασης 5,01109198508,28304
03047081459,X688181,2026-02-01 03:34:53,Αίθουσα Επέμβασης 2,24119277882,19706
14043576381,X631957.125,2025-03-04 15:34:29,Αίθουσα Επέμβασης 4,18046450046,10301
11056862615,X654327,2024-05-31 06:26:05,Χειρουργείο 3,16108629101,25146
03091549955,X625011,2026-05-20 17:19:05,Χειρουργείο 1,20056259580,29260
16025326700,X645957.27,2024-01-06 16:50:22,Χειρουργείο 5,23038301805,28611
08028059323,X630129,2026-06-05 01:04:31,Αίθουσα Επέμβασης 2,01028453566,2535
27078867642,B313605.292,2026-03-28 00:33:43,Χειρουργείο 3,22089289312,10740
03125748080,A403733,2026-09-17 22:50:24,Αίθουσα Επέμβασης 3,06056298788,27910
18061384923,B310829,2026-01-22 23:51:32,Αίθουσα Επέμβασης 1,31128168449,15400
14111679785,X655395,2025-03-28 06:29:55,Χειρουργείο 5,26109596245,26095
21033416510,X638039,2026-12-06 18:47:07,Χειρουργείο 4,21029390527,11981
01125073564,X631957.215,2024-09-10 12:07:48,Χειρουργείο 1,25059138149,16482
10055660280,X633159,2026-06-08 01:05:38,Αίθουσα Επέμβασης 1,12057413455,24825
22078019963,X635007,2026-10-01 10:37:06,Χειρουργείο 2,04096470957,4078
26075455327,K511905,2026-08-31 17:34:46,Χειρουργείο 3,07017336764,8824
01074419760,B310675,2024-07-25 14:15:41,Αίθουσα Επέμβασης 3,13106968050,16668
08054725779,X658963,2026-03-23 23:20:04,Χειρουργείο 3,03049115587,15939
22084348503,X710165,2025-05-26 06:28:06,Αίθουσα Επέμβασης 1,20118029005,10326
24105152619,X626359,2026-03-03 02:45:57,Χειρουργείο 5,15027849121,9056
05061082434,K508461,2025-02-13 20:32:06,Χειρουργείο 5,02088557462,12923
10055660280,X636769,2026-06-01 12:15:06,Χειρουργείο 5,23018735761,24825
29124364206,X634975,2026-07-05 07:47:51,Αίθουσα Επέμβασης 5,14087685423,5378
12041039575,K514025,2024-06-10 12:30:25,Αίθουσα Επέμβασης 3,27047450977,1671
05056443083,X645957.14,2026-08-24 09:58:20,Αίθουσα Επέμβασης 3,07039120569,18122
24098565932,X652453,2024-08-08 16:24:12,Χειρουργείο 2,09046647100,5800
02114416378,Χ639957.6,2024-03-18 01:10:36,Αίθουσα Επέμβασης 4,28027843113,20154
08014235398,X662159,2024-11-27 23:27:32,Αίθουσα Επέμβασης 3,31056269522,12660
17041058473,X634617,2026-01-13 09:00:43,Αίθουσα Επέμβασης 2,19067764454,4193
26040709224,X640859,2024-08-01 05:53:17,Χειρουργείο 2,25126627516,7983
08116612561,K512977.1,2026-03-14 04:20:00,Χειρουργείο 2,15128940931,15911
03039461622,B314809,2026-04-02 10:58:51,Χειρουργείο 3,18026491407,23791
24015290409,X670279,2024-04-03 05:22:53,Χειρουργείο 3,16027098320,26142
12117119364,X716683,2025-09-28 18:38:32,Χειρουργείο 4,31056169071,27310
31101803187,K508691,2025-04-13 15:14:39,Αίθουσα Επέμβασης 1,23077968309,17979
28037039800,K512977.12,2026-06-17 07:53:49,Χειρουργείο 5,03116493443,27426
18042047099,X600279,2025-09-27 05:38:30,Αίθουσα Επέμβασης 4,13036214191,19954
20078446376,X658957.18,2025-02-28 10:58:11,Αίθουσα Επέμβασης 1,22056024879,7333
13127085170,X620159,2024-12-07 03:03:12,Αίθουσα Επέμβασης 3,31018504386,29176
11017643196,X703007,2026-02-15 06:54:00,Αίθουσα Επέμβασης 3,04028115193,11040
30118417858,X645663,2026-10-07 10:47:56,Χειρουργείο 5,21079047523,11931
24025283929,X666173,2026-08-09 08:56:30,Αίθουσα Επέμβασης 3,10086060998,23507
30043373061,K516391,2024-12-03 02:07:37,Χειρουργείο 3,10038736913,21411
06113516882,B313605.226,2026-11-25 03:57:20,Αίθουσα Επέμβασης 5,28088884090,10877
13118727522,K511105,2025-01-02 05:45:41,Χειρουργείο 1,27057330784,22705
01086548551,B313605.58,2024-10-22 16:30:34,Χειρουργείο 1,21029390527,776
15057174799,B313605.21,2025-11-05 03:56:33,Αίθουσα Επέμβασης 5,23018017465,14735
20023340146,X688639,2026-08-03 12:33:10,Αίθουσα Επέμβασης 3,07079445783,15101
31057368172,B313861,2025-07-21 22:41:32,Χειρουργείο 4,05118656775,13903
14022178175,X701357,2026-08-15 07:39:05,Αίθουσα Επέμβασης 4,12097182585,5637
04048528607,X702389,2024-02-08 13:21:39,Χειρουργείο 4,26086400932,9433
20086057742,B313605.297,2026-12-18 22:14:18,Αίθουσα Επέμβασης 1,29018720992,4696
16065204714,X626799,2024-02-06 03:21:24,Αίθουσα Επέμβασης 1,12057413455,18498
27108248107,B305057,2024-03-13 20:58:57,Αίθουσα Επέμβασης 2,18038419704,21403
04094442427,B311905.15,2024-06-26 00:40:08,Χειρουργείο 2,07039120569,23099
28110912829,X643233,2025-11-18 16:56:01,Αίθουσα Επέμβασης 4,28088884090,26659
12101180343,K512741,2026-04-09 21:01:38,Αίθουσα Επέμβασης 3,26076648963,6796
08067993035,X633937.65,2024-11-22 04:42:41,Χειρουργείο 2,18079137617,11525
10100941011,X632369,2025-03-30 20:34:33,Αίθουσα Επέμβασης 3,19088103483,17850
12055113040,X716799,2025-12-10 12:12:09,Χειρουργείο 2,31127128715,7530
03058639273,Β315905.19,2025-04-23 18:47:49,Χειρουργείο 2,24127417202,14123
13035940888,B312541,2024-07-25 14:57:59,Αίθουσα Επέμβασης 1,06027984112,19475
12061757941,X681415,2025-10-20 15:44:37,Αίθουσα Επέμβασης 2,24059714537,15558
06078478463,B310399,2024-03-05 15:36:17,Χειρουργείο 1,15039665806,6250
16076387027,B313605.2,2024-09-24 11:00:39,Αίθουσα Επέμβασης 5,17087168135,9376
24089531378,K506393,2026-11-24 22:09:24,Χειρουργείο 5,10066642723,6219
25103326724,B308865,2025-01-17 23:03:17,Αίθουσα Επέμβασης 4,10066642723,14904
21057697037,X673779,2025-07-24 12:54:55,Αίθουσα Επέμβασης 4,20078593378,15326
30066397997,X660939,2025-11-15 02:03:12,Αίθουσα Επέμβασης 4,22056473676,13470
03087703516,B313377,2025-06-12 02:16:31,Χειρουργείο 2,13128886585,17766
07105034526,X611111,2024-10-16 03:35:42,Αίθουσα Επέμβασης 3,04119239492,6035
19080559291,X715629,2025-07-11 01:33:05,Χειρουργείο 4,04049765143,12153
26103795131,X663757.37,2026-03-30 21:43:03,Αίθουσα Επέμβασης 4,01129618953,3958
14017341180,X630591,2024-11-21 03:28:40,Αίθουσα Επέμβασης 1,19109063851,13262
21066273730,B309087,2025-02-25 05:24:55,Αίθουσα Επέμβασης 2,21107446461,28590
19025537312,X634853,2024-12-19 16:59:22,Αίθουσα Επέμβασης 4,14087685423,16428
23089263220,X704199,2025-05-20 03:24:56,Αίθουσα Επέμβασης 1,11087036989,9137
16090936082,X611219,2024-05-01 14:37:03,Αίθουσα Επέμβασης 4,19049805360,16738
16024530261,X620161,2026-08-23 20:39:46,Αίθουσα Επέμβασης 1,31077414694,26987
09022546618,X670219,2025-04-11 07:03:43,Αίθουσα Επέμβασης 3,22077399915,21982
30033923964,X696493,2025-08-17 13:24:25,Χειρουργείο 3,24127417202,9763
25048730564,X611111,2026-02-27 07:00:31,Αίθουσα Επέμβασης 3,15097845869,20415
10110981504,K506081,2024-11-18 02:55:27,Χειρουργείο 3,15027849121,15784
08039434255,Β311905.37,2024-06-05 06:32:21,Χειρουργείο 4,30066643000,15682
02124219840,X697875,2025-02-24 01:38:06,Αίθουσα Επέμβασης 5,07067536585,8694
25048043815,X623223,2026-03-24 05:22:30,Αίθουσα Επέμβασης 3,18067010293,11816
05019605751,A400125,2026-02-12 14:02:30,Αίθουσα Επέμβασης 2,18077668129,24847
03111157769,X639725,2026-10-31 19:19:20,Αίθουσα Επέμβασης 2,22036277849,5208
02017332815,X666495,2025-07-06 10:01:56,Αίθουσα Επέμβασης 3,10066642723,10643
22023259203,X678859,2026-02-21 08:06:33,Χειρουργείο 1,15068993499,17973
16075465531,B314211,2025-02-10 08:57:46,Αίθουσα Επέμβασης 1,05017393553,22477
21067520956,X645957.24,2024-01-26 12:58:24,Χειρουργείο 3,16129514595,3759
18117708129,X611643,2025-05-17 09:24:51,Χειρουργείο 5,03067202384,22177
15061532438,K501073,2026-03-31 20:56:36,Αίθουσα Επέμβασης 1,05017393553,20942
26079824385,X691583,2026-04-07 19:25:44,Αίθουσα Επέμβασης 1,16057668308,24140
27031956248,B313461,2025-04-10 03:58:28,Χειρουργείο 3,24097463592,18223
29088054221,X677059,2024-11-29 12:53:08,Χειρουργείο 1,24107406710,744
19022250152,X633937.48,2024-11-11 07:16:43,Χειρουργείο 3,19028204618,19254
22057071782,X695003,2025-11-05 10:24:53,Χειρουργείο 1,06086096998,15151
19061539063,B314119,2025-03-01 03:13:59,Αίθουσα Επέμβασης 5,16109211017,27619
15072008037,X666641,2025-01-26 18:03:19,Αίθουσα Επέμβασης 4,04066241219,7945
03111261483,X673459,2025-10-04 02:24:11,Αίθουσα Επέμβασης 3,13087594481,5400
25019427306,X603245,2025-01-03 12:08:29,Αίθουσα Επέμβασης 5,02036898951,16265
22055614340,X634903,2026-06-04 07:55:47,Αίθουσα Επέμβασης 4,02038186264,16382
03029875010,B304215,2024-02-05 16:18:25,Αίθουσα Επέμβασης 2,16098922011,23442
09080893956,X703331,2024-05-24 08:59:38,Αίθουσα Επέμβασης 2,17098211492,7941
25114119191,B315607,2026-06-26 02:11:50,Χειρουργείο 2,17059777666,13128
12041616497,K514135,2024-09-04 17:40:57,Χειρουργείο 4,15017994679,1188
19042445554,X714989,2024-06-04 13:25:14,Αίθουσα Επέμβασης 5,27127004840,9449
03049573590,K508621,2025-06-29 01:40:49,Αίθουσα Επέμβασης 5,19067764454,17225
16014138329,X702603,2024-09-07 10:40:00,Χειρουργείο 4,16049105631,6611
07045485175,K502041,2024-09-17 08:35:29,Αίθουσα Επέμβασης 1,18038419704,21247
27023869045,K508351,2026-02-23 05:52:01,Χειρουργείο 2,16108629101,14485
04074339186,K512977.15,2025-12-18 20:38:11,Αίθουσα Επέμβασης 1,19117034799,3629
03080796029,X668159,2025-08-19 04:48:24,Αίθουσα Επέμβασης 5,03089789067,19142
13042353791,X680459,2024-06-05 12:01:08,Αίθουσα Επέμβασης 4,19088103483,11266
30107265471,X706109,2026-10-30 08:22:42,Χειρουργείο 4,06067270098,17377
17065019977,B300211,2024-10-20 18:05:32,Χειρουργείο 4,06086096998,13946
30055270514,X631957.62,2026-04-15 15:13:18,Αίθουσα Επέμβασης 1,18048136821,24300
15129831606,B313605.275,2025-04-13 06:54:50,Αίθουσα Επέμβασης 4,15027849121,16840
13025816895,B311905.8,2026-08-29 01:31:56,Χειρουργείο 5,05059061176,16624
20043945437,X697169,2026-06-08 17:49:39,Χειρουργείο 2,10116142591,28219
12018506969,Β311905.181,2026-05-18 15:14:31,Αίθουσα Επέμβασης 5,15027849121,1307
24118782335,X646963,2025-12-14 00:09:37,Αίθουσα Επέμβασης 1,11019339247,21389
14033441103,B306047,2024-12-17 14:03:16,Χειρουργείο 5,07127401967,25734
06026284309,K513609,2025-05-21 09:25:02,Χειρουργείο 2,14107187228,3272
02085996225,X665559,2024-10-23 11:05:01,Αίθουσα Επέμβασης 2,22056473676,27736
28025880468,X698261,2026-02-04 03:09:12,Αίθουσα Επέμβασης 2,26027420823,26686
22104666706,X699753,2025-11-06 17:59:11,Αίθουσα Επέμβασης 5,30128750138,19618
06091240911,X608001,2026-07-21 13:05:42,Αίθουσα Επέμβασης 1,08046234626,12215
31127252570,B313605.393,2026-09-02 01:59:44,Χειρουργείο 5,25087114134,29623
