ΑΜΚΑ_ΠΡΟΣΩΠΙΚΟΥ,ΟΝΟΜΑ,ΕΠΩΝΥΜΟ,ΗΛΙΚΙΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΗΜΕΡΟΜΗΝΙΑ_ΠΡΟΣΛΗΨΗΣ,ΤΥΠΟΣ_ΠΡΟΣΩΠΙΚΟΥ
04066241219,Μαρίνος,Σπανός,63,marinos_spanos@hospital.gr,+30 6950 065589,2026-12-12,Ιατρός
28106015571,Μαύρος,Δημητρίου,65,mayros_dimitrioy@hospital.gr,+30 2672 004819,2024-03-25,Ιατρός
21056659269,Χριστόφιλη,Τουλούπη,59,christofili.toyloypi@hospital.gr,2390408963,2026-05-28,Ιατρός
16109211017,Λέανδρος,Γεράρδης,33,lgerardis@hospital.gr,2400132317,2026-10-20,Ιατρός
12097182585,Κύρος,Κούτσικος,54,kyros_koytsikos@hospital.gr,2180187779,2025-02-28,Ιατρός
21029390527,Μιράντα,Δαρδιώτη,33,miranta.dardioti@hospital.gr,2104775045,2025-04-27,Ιατρός
31036764120,Ποθητή,Μανοπούλου,59,pmanopoyloy@hospital.gr,+30 6965 688515,2026-07-05,Ιατρός
01068388909,Νεοκλής,Πλακωτάρης,42,nplakotaris@hospital.gr,(+30) 2779 220273,2025-04-25,Ιατρός
31127162692,Ιφιγένεια,Μαράκη,54,imaraki@hospital.gr,2208017918,2025-06-04,Ιατρός
30128750138,Κυριάκος,Χητός,38,kchitos@hospital.gr,25640 36 838,2024-10-10,Ιατρός
10127855123,Χριστοφόρα,Αρματά,47,carmata@hospital.gr,+30 6987 515921,2026-02-12,Ιατρός
27047450977,Βενέτιος,Μεταξάς,52,venetios.metaxas@hospital.gr,26420 48 611,2025-07-16,Ιατρός
21107026591,Υακίνθη,Δουκίδου,55,ydoykidoy@hospital.gr,2101710339,2024-10-01,Ιατρός
17099112296,Γιολάντα,Ξηροδήμα,34,gxirodima@hospital.gr,(+30) 2593 865552,2025-12-10,Ιατρός
16057668308,Κυριαζής,Ρέντζος,50,kyriazis.rentzos@hospital.gr,2890953104,2024-09-25,Ιατρός
13128886585,Εύα,Φασατάκη,37,eya_fasataki@hospital.gr,210 5953921,2024-02-17,Ιατρός
07096320081,Πολυτίμη,Κουλοχέρη,62,pkoylocheri@hospital.gr,2540735178,2024-03-31,Ιατρός
06106702650,Ματρώνη,Ξηροτύρη,58,matroni.xirotyri@hospital.gr,2450868338,2024-07-02,Ιατρός
06067101897,Ευανθία,Αραπάκη,54,eyanthia_arapaki@hospital.gr,2103858727,2025-12-19,Ιατρός
22029134563,Αχιλλεία,Κολτσάκη,35,akoltsaki@hospital.gr,2880 177 051,2026-03-16,Ιατρός
24127417202,Πανδώρα,Χαλαντζούκα,51,pandora.chalantzoyka@hospital.gr,+30 6903 490031,2024-01-23,Ιατρός
24107206566,Βασίλης,Μάστορας,53,vasilis.mastoras@hospital.gr,(+30) 6935 132192,2024-05-12,Ιατρός
01026474429,Αθηνοδώρα,Καλογιαννάκη,62,athinodora.kalogiannaki@hospital.gr,+302542776789,2024-02-02,Ιατρός
16058088797,Παταπία,Παπανδρικοπούλου,46,patapia.papandrikopoyloy@hospital.gr,2106754425,2026-02-11,Ιατρός
06027984112,Βασιλική,Πουλιάση,47,vasiliki_poyliasi@hospital.gr,6992 094410,2025-09-29,Ιατρός
20117228047,Θεόκλεια,Πάντου,53,theokleia.pantoy@hospital.gr,+30 2448 323103,2025-12-11,Ιατρός
10066642723,Σμαράγδα,Νταγκαλή,59,smaragda.ntagkali@hospital.gr,(+30) 2318 082635,2024-11-09,Ιατρός
06088858657,Γιώργος,Τριαντακωνσταντής,37,giorgos.triantakonstantis@hospital.gr,+302435177579,2025-08-27,Ιατρός
11028804475,Βενιζέλος,Χατζαντώνης,38,vchatzantonis@hospital.gr,+302189282032,2025-09-20,Ιατρός
08117716641,Θεοχαρούλα,Αβραμίδου,48,theocharoyla.avramidoy@hospital.gr,6941 207379,2025-01-11,Ιατρός
14027204472,Πολύβιος,Τζήκας,54,ptzikas@hospital.gr,+302072492575,2024-12-01,Ιατρός
22089289312,Βενέτιος,Γιατρομανωλάκης,33,vgiatromanolakis@hospital.gr,2680 466433,2026-04-19,Ιατρός
18048136821,Γιαννούλα,Κορομπόκη,45,gkorompoki@hospital.gr,+30 2571 572616,2024-10-10,Ιατρός
13049344733,Θεοφίλη,Δελή,33,tdeli@hospital.gr,(+30) 2134 557398,2024-01-14,Ιατρός
17116460629,Ευστράτιος,Γιαννέλος,61,egiannelos@hospital.gr,2260 065 341,2026-12-04,Ιατρός
15068957567,Πάρις,Ανδριανός,36,paris_andrianos@hospital.gr,2100062693,2026-08-23,Ιατρός
13019511418,Σαπφώ,Κατσανίκου,31,skatsanikoy@hospital.gr,+302729094399,2024-08-31,Ιατρός
30037959532,Καλομοίρα,Βερβερίδου,47,kververidoy@hospital.gr,2660092951,2026-02-21,Ιατρός
29018364310,Ανθούλα,Πατινιωτάκη,43,anthoyla_patiniotaki@hospital.gr,+30 6935 029588,2026-04-11,Ιατρός
13019416697,Χριστοδούλα,Σεβαστού,32,christodoyla_sevastoy@hospital.gr,210 7003917,2025-08-28,Ιατρός
10088406393,Κυριαζής,Παπαευαγγελίου,41,kyriazis.papaeyaggelioy@hospital.gr,+30 2786 417712,2025-11-12,Ιατρός
02036522626,Οδύσσεια,Κολαΐτου,61,odysseia.kolaitoy@hospital.gr,(+30) 2938 926013,2024-01-02,Ιατρός
19048935115,Σεραφεία,Κουτσικούρη,37,serafeia_koytsikoyri@hospital.gr,210 063 6517,2025-05-29,Ιατρός
10098802211,Ησαΐας,Φωκάς,37,isaias.fokas@hospital.gr,6956 044 122,2025-07-11,Ιατρός
17087168135,Ευσεβία,Βασιλοπούλου,54,evasilopoyloy@hospital.gr,2470 218 720,2024-06-10,Ιατρός
30066643000,Ερμιόνη,Χατζηγεωργίου,59,ermioni.chatzigeorgioy@hospital.gr,2280092020,2026-11-21,Ιατρός
22036277849,Στέφανος,Σπορδιλής,64,stefanos.spordilis@hospital.gr,6906 648513,2026-01-18,Ιατρός
21059604573,Αθηνόδωρος,Θεοχάρης,29,athinodoros_theocharis@hospital.gr,2101620184,2024-05-16,Ιατρός
19088103483,Πραξιτέλης,Τσικνιάς,44,praxitelis_tsiknias@hospital.gr,2600 123 009,2024-12-15,Ιατρός
16049105631,Σιρανούς,Μπέκος,35,smpekos@hospital.gr,29940 77 555,2026-01-13,Ιατρός
03116493443,Φερενίκη,Λύτρα,61,flytra@hospital.gr,2101772161,2024-05-14,Ιατρός
18077668129,Τριαντάφυλλος,Τσότρας,49,triantafyllos_tsotras@hospital.gr,2230 037047,2024-11-07,Ιατρός
04027352612,Μικές,Πίππας,53,mikes.pippas@hospital.gr,+306963629394,2024-03-10,Ιατρός
09087465106,Υακίνθη,Παυλάκη,51,yakinthi_paylaki@hospital.gr,2850872812,2026-03-26,Ιατρός
22069080015,Λουκία,Τζιγκούρα,35,loykia.tzigkoyra@hospital.gr,210 5156408,2026-11-03,Ιατρός
26109596245,Παυλίνα,Μαυροείδη,30,paylina_mayroeidi@hospital.gr,6945 401506,2025-12-23,Ιατρός
06017832098,Βασιλική,Ευαγγελίδη,48,vasiliki_eyaggelidi@hospital.gr,210 5997759,2026-04-03,Ιατρός
25099582251,Τιμολέων,Μάστορας,30,tmastoras@hospital.gr,6937 860 911,2025-03-13,Ιατρός
18026491407,Ορέστης,Ζώνιος,62,orestis_zonios@hospital.gr,210 137 3745,2025-04-06,Ιατρός
25087114134,Ιουλιανός,Σαμανίδης,54,ioylianos.samanidis@hospital.gr,2780967529,2024-01-04,Ιατρός
02097580827,Αργύριος,Ντουλιάς,50,antoylias@hospital.gr,+302244378581,2025-04-28,Ιατρός
20027211534,Αδαμαντία,Τάντου,54,adamantia_tantoy@hospital.gr,(+30) 6908 467417,2025-08-30,Ιατρός
20036906148,Μάρκος,Δόβας,57,mdovas@hospital.gr,+30 6920 383692,2026-05-07,Ιατρός
10028991768,Ράλλης,Μανίκας,37,rallis.manikas@hospital.gr,2103065475,2026-12-02,Ιατρός
08097338699,Ιούλιος,Παναγιωτακόπουλος,52,ioylios.panagiotakopoylos@hospital.gr,(+30) 2716 597407,2024-05-11,Ιατρός
27016538344,Κωνσταντίνος,Ζολώτας,61,konstantinos.zolotas@hospital.gr,210 684 8906,2024-12-29,Ιατρός
19038209414,Παντελής,Περπινιάς,44,pantelis.perpinias@hospital.gr,2809042778,2024-10-04,Ιατρός
04119372013,Αγαπητός,Μαρακάς,32,agapitos.marakas@hospital.gr,6983 476987,2026-06-28,Ιατρός
26027420823,Δωρόθεος,Γάτος,52,dorotheos.gatos@hospital.gr,210 378 2661,2026-12-17,Ιατρός
19067764454,Δημόκριτος,Ψυχιάς,48,dpsychias@hospital.gr,+306941878295,2025-02-21,Ιατρός
27038876062,Αργυρούλα,Μηνά,38,amina@hospital.gr,(+30) 6936 834597,2026-12-20,Ιατρός
29069575442,Ανανίας,Χρυσίδης,30,ananias_chrysidis@hospital.gr,(+30) 2435 396735,2024-09-14,Ιατρός
12057413455,Ισιδώρα,Κανελλοπούλου,52,ikanellopoyloy@hospital.gr,6962123387,2026-02-18,Ιατρός
06129398379,Υπαπαντή,Μιχαηλίδου,32,ypapanti_michailidoy@hospital.gr,+302709165030,2024-11-09,Ιατρός
04028115193,Ευμορφία,Ζαφείρη,45,eymorfia_zafeiri@hospital.gr,6948461884,2024-07-21,Ιατρός
23018735761,Μυρσίνη,Τσάκη,39,mtsaki@hospital.gr,2450497022,2026-09-19,Ιατρός
05069279544,Καλυψώ,Κουτσουρέλη,33,kkoytsoyreli@hospital.gr,6953 122 256,2025-06-04,Ιατρός
21079047523,Ευτύχιος,Χατζηγρηγοράκης,35,echatzigrigorakis@hospital.gr,+30 6940 715485,2026-05-13,Ιατρός
14036730831,Ναπολέων,Κουρσάρης,59,napoleon_koyrsaris@hospital.gr,(+30) 6934 475183,2024-06-28,Ιατρός
18078628006,Αριάδνη,Γραμμένου,39,ariadni_grammenoy@hospital.gr,2180 286634,2025-07-31,Ιατρός
01078222862,Ζαφείριος,Γερόπουλος,43,zafeirios_geropoylos@hospital.gr,2439089294,2024-05-04,Ιατρός
28027843113,Βενετία,Παπακώστα,48,venetia_papakosta@hospital.gr,(+30) 2262 058075,2024-09-04,Ιατρός
27039198147,Θεοφίλη,Φωτακοπούλου,35,theofili.fotakopoyloy@hospital.gr,+30 6900 179719,2026-02-13,Ιατρός
03089789067,Τίτος,Καταραχιάς,28,tkatarachias@hospital.gr,6918848611,2024-02-29,Ιατρός
04119239492,Αντιγόνη,Σιδηροπούλου,33,antigoni_sidiropoyloy@hospital.gr,6976 911 866,2025-10-07,Ιατρός
08038064163,Ερρίκος,Ρουσιανός,46,errikos.roysianos@hospital.gr,6920 325116,2026-03-17,Ιατρός
18117707554,Ιππολύτη,Κεσίση,48,ippolyti.kesisi@hospital.gr,2110 271948,2025-11-08,Ιατρός
20056259580,Πολυνίκη,Δρόσου,63,polyniki.drosoy@hospital.gr,2360327375,2024-11-13,Ιατρός
06066504974,Περιστέρα,Τσούρα,60,peristera_tsoyra@hospital.gr,2750 393100,2024-07-01,Ιατρός
16027098320,Παντούλα,Δανδανίδου,56,pantoyla.dandanidoy@hospital.gr,2426055405,2025-08-23,Ιατρός
14017779931,Εύκλεια,Σαπρίκη,49,eykleia_sapriki@hospital.gr,2480 463 657,2024-08-17,Ιατρός
06086096998,Πασχάλης,Κουλίδης,65,paschalis_koylidis@hospital.gr,6957 269 775,2024-05-02,Ιατρός
02036898951,Ιωσήφ,Τουρναβίτης,58,itoyrnavitis@hospital.gr,+30 6900 708587,2026-12-23,Ιατρός
28126455528,Χρύσανθος,Κεσεμίδης,61,ckesemidis@hospital.gr,+306921834400,2026-07-15,Ιατρός
24107406710,Θεόπιστος,Πανούσης,51,tpanoysis@hospital.gr,2103279074,2026-04-04,Ιατρός
07038155297,Ευμένιος,Μανωλέας,45,emanoleas@hospital.gr,(+30) 6970 367941,2024-03-01,Ιατρός
24068366431,Ιερώνυμος,Παπαδάκης,42,ieronymos.papadakis@hospital.gr,210 1010328,2025-04-05,Ιατρός
26086400932,Απολλωνία,Βαρθαλίτη,61,apollonia_varthaliti@hospital.gr,2735067496,2024-08-30,Ιατρός
03047170651,Μελίνα,Γκάβρου,55,melina_gkavroy@hospital.gr,2800033163,2026-06-15,Ιατρός
01126898842,Ροδαμάνθη,Κωνσταντινίδου,57,rkonstantinidoy@hospital.gr,2850 017 663,2025-07-09,Ιατρός
01028453566,Μακάριος,Τσουκνίδας,42,makarios_tsoyknidas@hospital.gr,6902004785,2026-03-04,Ιατρός
27127004840,Βαλεντίνα,Βασιλάκη,55,vvasilaki@hospital.gr,2260 969 497,2026-06-05,Ιατρός
22077399915,Δέσποινα,Αλυσανδράτου,52,despoina.alysandratoy@hospital.gr,2750025909,2026-01-07,Ιατρός
03079784188,Γιώργος,Μπουλούκος,28,giorgos_mpoyloykos@hospital.gr,(+30) 6972 901993,2024-04-15,Ιατρός
29087896734,Ιακωβίνα,Παπανδρικοπούλου,47,iakovina_papandrikopoyloy@hospital.gr,210 991 2484,2025-09-18,Ιατρός
17049454625,Ευσέβιος,Τσεμπερλίδης,32,eysevios.tsemperlidis@hospital.gr,2109029020,2026-02-11,Ιατρός
15036205266,Αγγελής,Ρέντζος,64,arentzos@hospital.gr,6993 674 744,2024-12-05,Ιατρός
27119559754,Χρίστος,Σίδερης,30,christos.sideris@hospital.gr,(+30) 6903 511117,2024-09-03,Ιατρός
06067129338,Πραξιτέλης,Ντόκος,54,praxitelis_ntokos@hospital.gr,6948 383176,2026-03-01,Ιατρός
07017002380,Τρισεύγενη,Μαγούλα,56,triseygeni.magoyla@hospital.gr,2740 999 070,2025-09-28,Ιατρός
04107581800,Μικές,Τσέγας,50,mikes.tsegas@hospital.gr,6909 055160,2024-08-04,Ιατρός
10038736913,Φρειδερίκος,Χριστάρας,39,freiderikos.christaras@hospital.gr,2107471263,2026-06-13,Ιατρός
07039120569,Μηνάς,Φρογάκης,35,mfrogakis@hospital.gr,+302124344948,2026-08-11,Ιατρός
23038301805,Ηώ,Γιατράκου,43,io_giatrakoy@hospital.gr,2170543265,2025-04-30,Ιατρός
02018629858,Γρηγόριος,Κούρτης,40,gkoyrtis@hospital.gr,2561042587,2026-04-21,Ιατρός
21037222305,Αρτέμης,Βελεντζάς,54,artemis.velentzas@hospital.gr,2526091551,2026-06-04,Ιατρός
21017629522,Μαριάνθη,Νταγκαλή,50,mntagkali@hospital.gr,(+30) 2474 183879,2025-01-15,Ιατρός
25067343186,Ρηγούλα,Σαριδάκη,52,rigoyla.saridaki@hospital.gr,210 890 4186,2025-05-17,Ιατρός
13049573563,Πρόδρομος,Φυδάνης,31,pfydanis@hospital.gr,2890 183189,2025-01-20,Ιατρός
19119585662,Πέτρα,Σπαθάρη,30,pspathari@hospital.gr,2350 213 550,2025-05-20,Ιατρός
04077053309,Ευστάθιος,Σαρρός,55,eystathios.sarros@hospital.gr,210 3685109,2025-11-21,Ιατρός
16038345197,Πολύβιος,Πιπεράκης,43,polyvios.piperakis@hospital.gr,210 0511419,2025-07-21,Ιατρός
16108629101,Μελπομένη,Μπακουλή,39,melpomeni_mpakoyli@hospital.gr,+306959956438,2025-10-11,Ιατρός
18027242588,Ιωακείμ,Γεωργούδης,54,ioakeim.georgoydis@hospital.gr,+302926601618,2024-02-22,Ιατρός
30087210990,Μικές,Χατζησάββας,53,mikes.chatzisavvas@hospital.gr,+30 6991 528149,2024-07-27,Ιατρός
12087368022,Πολύβιος,Δινεζάκης,52,pdinezakis@hospital.gr,6933 772959,2025-12-15,Ιατρός
26086295833,Ιακωβίνα,Σιούτα,63,isioyta@hospital.gr,2200 529575,2026-04-15,Ιατρός
01099600492,Ιορδανία,Γαβριήλ,29,igavriil@hospital.gr,(+30) 6961 468456,2025-01-08,Ιατρός
14026323754,Άριστος,Τσεμπερλίδης,63,aristos_tsemperlidis@hospital.gr,210 760 4294,2024-11-11,Ιατρός
19028204618,Φαίδων,Φιλιππάτος,44,faidon.filippatos@hospital.gr,(+30) 2979 524908,2024-01-16,Ιατρός
24059714537,Μαρτίνος,Ζαραφέτας,28,martinos_zarafetas@hospital.gr,(+30) 2524 170776,2024-07-22,Ιατρός
29018720992,Γαρύφαλλος,Μεταξάς,39,garyfallos_metaxas@hospital.gr,6977991822,2025-11-17,Ιατρός
01109198508,Αγάθη,Κασμιρλή,34,agathi_kasmirli@hospital.gr,+30 6995 890276,2025-07-05,Ιατρός
06129006779,Λάσκαρης,Πευκιανάκης,35,lpeykianakis@hospital.gr,29860 00 941,2024-10-18,Ιατρός
16098922011,Παντελεήμων,Φαλιέρος,36,panteleimon.falieros@hospital.gr,2170 701590,2024-07-08,Ιατρός
07126830003,Λάζαρος,Ζαραφέτας,57,lazaros_zarafetas@hospital.gr,+30 6959 741965,2024-11-28,Ιατρός
18079137617,Κοσμάς,Μπουλούκος,34,kosmas.mpoyloykos@hospital.gr,2270 786 512,2025-01-18,Ιατρός
25126627516,Μυρσίνη,Μαγούλα,59,myrsini_magoyla@hospital.gr,+30 6979 745065,2026-07-03,Ιατρός
05038245675,Χλόη,Γιανναρά,44,cgiannara@hospital.gr,+306932286422,2024-06-10,Ιατρός
10049377861,Φωτεινή,Μακροπούλου,33,foteini_makropoyloy@hospital.gr,+30 6923 434430,2026-03-08,Ιατρός
07128933392,Κυβέλη,Βλάχου,36,kyveli_vlachoy@hospital.gr,(+30) 6974 260932,2025-08-14,Ιατρός
03077355047,Χάρις,Μιχαηλίδης,52,charis.michailidis@hospital.gr,2820 036 204,2024-06-01,Ιατρός
09046647100,Φλωρεντία,Φυτιλή,60,ffytili@hospital.gr,+30 2711 750971,2026-12-13,Ιατρός
19029442004,Παράσχος,Χριστόπουλος,32,pchristopoylos@hospital.gr,2930 622 430,2025-12-12,Ιατρός
20066498687,Γκίκας,Χριστάκης,61,gkikas.christakis@hospital.gr,25910 15 446,2026-11-20,Ιατρός
29038506566,Επαμεινώνδας,Βαβουράκης,41,epameinondas.vavoyrakis@hospital.gr,210 837 7978,2026-11-22,Ιατρός
24119277882,Ευδοκία,Χαλβατζή,33,eydokia_chalvatzi@hospital.gr,2683038127,2026-02-18,Ιατρός
14048983004,Πρόδρομος,Νικητόπουλος,37,prodromos.nikitopoylos@hospital.gr,+306906859111,2026-06-24,Ιατρός
23017282546,Γερακίνα,Κασσωτάκη,54,gerakina.kassotaki@hospital.gr,(+30) 6971 593201,2024-10-03,Ιατρός
22056473676,Σουλτάνα,Δαμήλου,61,soyltana_damiloy@hospital.gr,(+30) 2830 531877,2025-07-17,Ιατρός
04056123282,Δάφνη,Σπανίδου,65,dspanidoy@hospital.gr,2020128987,2026-04-05,Ιατρός
15097845869,Ταξίαρχος,Αντωνέας,47,taxiarchos_antoneas@hospital.gr,2109687514,2024-01-27,Ιατρός
19026775246,Μακάριος,Τριαντακωνσταντής,59,mtriantakonstantis@hospital.gr,2220 857423,2026-08-24,Ιατρός
15039665806,Τσαμπίκα,Μανιτάρου,30,tsampika.manitaroy@hospital.gr,6938287083,2025-12-27,Ιατρός
28086691989,Ειρήνη,Βυζιηνού,59,evyziinoy@hospital.gr,6954274383,2025-12-30,Ιατρός
28057037026,Μαυρούδης,Πικρός,55,mpikros@hospital.gr,+30 2632 120321,2024-10-30,Ιατρός
24097463592,Χρήστος,Μπαλουκίδης,51,christos.mpaloykidis@hospital.gr,+302600262228,2026-01-11,Ιατρός
18047974063,Αθηνά,Σοκολάκη,47,asokolaki@hospital.gr,2101947227,2026-12-08,Ιατρός
03117001638,Ζηνόβιος,Κατσαρός,55,zinovios_katsaros@hospital.gr,210 718 1752,2026-12-25,Ιατρός
11069420002,Ραχήλ,Πατσούρας,31,rpatsoyras@hospital.gr,+30 6904 170316,2026-05-20,Ιατρός
08107948767,Ντανιέλα,Πανταζή,46,npantazi@hospital.gr,210 0234794,2025-04-12,Ιατρός
01058889994,Βαρσαμία,Τζιόβα,38,varsamia.tziova@hospital.gr,+306984353630,2026-03-29,Ιατρός
22056024879,Βλάσιος,Αντωνιάδης,65,vlasios_antoniadis@hospital.gr,+306924552087,2025-12-05,Ιατρός
04037503050,Λουκιανός,Καρανασίου,51,loykianos_karanasioy@hospital.gr,210 647 2247,2024-05-21,Ιατρός
24079369309,Θεόδουλος,Μαγκούφης,32,theodoylos.magkoyfis@hospital.gr,2640820801,2026-10-04,Ιατρός
19097671585,Ράλλης,Αφρουδάκης,49,rafroydakis@hospital.gr,210 0927118,2026-07-07,Ιατρός
23077968309,Βασιλική,Παπαευαγγέλου,46,vasiliki.papaeyaggeloy@hospital.gr,+302730067351,2026-10-02,Ιατρός
19027744421,Αδάμ,Κολχούρης,49,akolchoyris@hospital.gr,6971736789,2026-11-27,Ιατρός
24128760642,Γιάννης,Τσιγαρίδας,38,giannis.tsigaridas@hospital.gr,+30 6982 318190,2024-09-30,Ιατρός
