ΑΡΙΘΜΟΣ_ΣΥΜΒΟΛΑΙΟΥ,ΟΝΟΜΑ_ΦΟΡΕΑ,ΑΜΚΑ_ΑΣΘΕΝΗ
INS-741873575,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,31015119922
INS-725944055,ΕΟΠΥΥ,03074221048
INS-745371758,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,02045614585
INS-510263934,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14015753855
INS-598453639,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,04056574142
INS-173745592,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,22087834905
INS-970107224,EUROLIFE FFH,11044992480
INS-417552559,NN HELLAS,22020690302
INS-030135622,ΕΟΠΥΥ,20105881114
INS-526445469,EUROLIFE FFH,04046640406
INS-671558704,ΕΟΠΥΥ,25034774319
INS-895646861,ΕΟΠΥΥ,23026299041
INS-836126666,NN HELLAS,21084439670
INS-123008185,EUROLIFE FFH,18012273417
INS-420649165,NN HELLAS,18112045466
INS-855397374,INTERAMERICAN,14100182724
INS-166074067,NN HELLAS,08100396051
INS-942070793,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,08127676410
INS-156370328,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,07092034858
INS-052304416,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,20062009884
INS-456419368,ΕΟΠΥΥ,16101563649
INS-581747529,ΕΟΠΥΥ,30119204584
INS-440589143,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,27074261850
INS-023894916,NN HELLAS,04016878221
INS-801728425,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,23014737190
INS-137352373,ΕΟΠΥΥ,11096207310
INS-215590690,EUROLIFE FFH,22080161389
INS-868226690,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30036411301
INS-388482580,EUROLIFE FFH,12080501674
INS-265446702,INTERAMERICAN,29052202474
INS-848192216,INTERAMERICAN,17039251806
INS-535321396,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,07027302619
INS-135225428,INTERAMERICAN,24114256734
INS-657433316,NN HELLAS,19027788721
INS-967010193,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,09093126515
INS-988261651,ΕΟΠΥΥ,14064876613
INS-996452793,EUROLIFE FFH,29093912428
INS-331068418,NN HELLAS,13119245684
INS-185254267,INTERAMERICAN,21045365135
INS-416312749,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,22087319946
INS-519054046,NN HELLAS,22102093295
INS-171623708,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,28103149477
INS-561790905,NN HELLAS,15031941303
INS-463946276,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13121147131
INS-457375974,NN HELLAS,07030320190
INS-158512862,INTERAMERICAN,22072411540
INS-955433773,ΕΟΠΥΥ,24098565932
INS-496245234,GENERALI,08028435173
INS-003688987,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,17096523879
INS-978383157,EUROLIFE FFH,30061534753
INS-366707695,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,29029264347
INS-765309768,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,03049363829
INS-445148595,INTERAMERICAN,03071221240
INS-869424623,NN HELLAS,10038030162
INS-580959284,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,16095365818
INS-391224090,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29018372669
INS-663607369,ΕΟΠΥΥ,23041643187
INS-694562412,ΕΟΠΥΥ,28125451927
INS-429271674,EUROLIFE FFH,18042384410
INS-712965719,GENERALI,26086118653
INS-867846477,NN HELLAS,27059389623
INS-980017307,EUROLIFE FFH,13128076984
INS-747728511,ΕΟΠΥΥ,21018226099
INS-307100508,INTERAMERICAN,25076091990
INS-061990619,EUROLIFE FFH,05095419509
INS-766323753,EUROLIFE FFH,20076427377
INS-789978139,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,19097482681
INS-620260855,NN HELLAS,01088640363
INS-727759025,GENERALI,07122250476
INS-518107947,GENERALI,18097300992
INS-454010509,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30034802778
INS-996718968,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,01057280540
INS-118580099,NN HELLAS,08017832119
INS-246050418,NN HELLAS,01073457995
INS-333687934,EUROLIFE FFH,23065143468
INS-836164212,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,19084860666
INS-534745874,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,03118725582
INS-386910854,EUROLIFE FFH,24020552296
INS-036464885,INTERAMERICAN,02125657014
INS-732266753,INTERAMERICAN,29112058741
INS-518048351,GENERALI,16103907601
INS-344152016,ΕΟΠΥΥ,23055521671
INS-312173867,NN HELLAS,15039299115
INS-724628560,GENERALI,29079968130
INS-593464392,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,09054850244
INS-660801991,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,31106804621
INS-505886782,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,28046553752
INS-186145066,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,08060061416
INS-985047897,EUROLIFE FFH,03077253380
INS-610061569,NN HELLAS,26083509072
INS-209566903,ΕΟΠΥΥ,24089531378
INS-450905132,NN HELLAS,29100744280
INS-498159626,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,17073055687
INS-659419655,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,03074855522
INS-071235826,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,22029571262
INS-183206986,ΕΟΠΥΥ,09080133179
INS-021237306,ΕΟΠΥΥ,15088477505
INS-636093710,NN HELLAS,07024625861
INS-202390886,ΕΟΠΥΥ,07015867261
INS-497268396,NN HELLAS,15125002495
INS-334086323,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30113851042
INS-787316827,INTERAMERICAN,23122373913
INS-510852279,EUROLIFE FFH,24054622628
INS-718199564,INTERAMERICAN,07046908704
INS-909363457,GENERALI,21086817071
INS-199240171,NN HELLAS,02050285980
INS-148520869,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24104773655
INS-052667365,GENERALI,27107893056
INS-714153077,NN HELLAS,22127518164
INS-712122541,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,01125694155
INS-317821450,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,26017052077
INS-455155134,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24054185550
INS-367233396,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,15042359070
INS-856530048,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,21028007222
INS-238770075,NN HELLAS,03103622780
INS-906499641,ΕΟΠΥΥ,13052307943
INS-425882153,GENERALI,16057787215
INS-985387011,NN HELLAS,09086589288
INS-325129616,NN HELLAS,01014873188
INS-543318235,NN HELLAS,30090771746
INS-033907562,EUROLIFE FFH,19117719066
INS-523117575,GENERALI,15120700453
INS-136112974,NN HELLAS,27081096107
INS-223346779,EUROLIFE FFH,02058463211
INS-529378819,EUROLIFE FFH,10030059911
INS-539748928,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30088979279
INS-176392859,ΕΟΠΥΥ,09064825453
INS-404328710,EUROLIFE FFH,06023671044
INS-855888847,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,19065163982
INS-628690579,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,07128085289
INS-067111124,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,26127567733
INS-755071170,ΕΟΠΥΥ,22121434526
INS-772708137,INTERAMERICAN,13120177727
INS-795831450,EUROLIFE FFH,14102375736
INS-737059539,INTERAMERICAN,26102377756
INS-284210956,ΕΟΠΥΥ,31087771533
INS-385934258,INTERAMERICAN,02054791002
INS-675238835,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30048928210
INS-302587009,NN HELLAS,04119322146
INS-386027730,INTERAMERICAN,19011192928
INS-175481338,NN HELLAS,31108752092
INS-675942680,GENERALI,05036087647
INS-536234861,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,28070963595
INS-651199618,INTERAMERICAN,03056070557
INS-607740351,INTERAMERICAN,22023355868
INS-400641873,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,20078869984
INS-398889789,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,31073909664
INS-498713522,EUROLIFE FFH,15028075336
INS-175531835,NN HELLAS,21087246797
INS-228446977,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,28048948939
INS-300468906,ΕΟΠΥΥ,07034649918
INS-759855782,NN HELLAS,27063091972
INS-902335032,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,23014917210
INS-738731620,ΕΟΠΥΥ,28098138186
INS-625223946,GENERALI,07064395810
INS-774402154,GENERALI,12041430819
INS-149273141,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30050803200
INS-649573070,NN HELLAS,25023531221
INS-037426469,EUROLIFE FFH,10057653281
INS-769973948,INTERAMERICAN,13043172215
INS-674361850,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,15010494442
INS-283237799,GENERALI,27050742021
INS-736496689,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,10041775192
INS-586885699,ΕΟΠΥΥ,26043651577
INS-606518965,EUROLIFE FFH,03113910337
INS-351695467,EUROLIFE FFH,03109967583
INS-910231915,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,19047616614
INS-876841915,ΕΟΠΥΥ,18060872081
INS-436078024,ΕΟΠΥΥ,23059909646
INS-952005322,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,27082351595
INS-154650512,GENERALI,02111421570
INS-330176031,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,19111901638
INS-358558888,EUROLIFE FFH,17038985986
INS-447544281,EUROLIFE FFH,14117565860
INS-503613817,EUROLIFE FFH,07119934135
INS-094154330,NN HELLAS,29018413159
INS-854594858,GENERALI,18114903625
INS-879545835,GENERALI,01123642638
INS-656465241,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,23087836683
INS-066970986,GENERALI,21077163815
INS-143712552,GENERALI,09043693867
INS-138791410,INTERAMERICAN,17055445786
INS-470706515,ΕΟΠΥΥ,16045350816
INS-610170024,GENERALI,03067320334
INS-433702043,INTERAMERICAN,11124762727
INS-096765551,EUROLIFE FFH,01067996085
INS-996428165,GENERALI,24024341321
INS-697325213,NN HELLAS,23054807095
INS-707164126,EUROLIFE FFH,28093514553
INS-579677799,ΕΟΠΥΥ,01124864995
INS-849079276,ΕΟΠΥΥ,28099697386
INS-404672625,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,03041669050
INS-524118064,GENERALI,09114060217
INS-491204961,EUROLIFE FFH,01081497693
INS-543443934,EUROLIFE FFH,28084725610
INS-209790631,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,01095671193
INS-374416152,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,26119715904
INS-597178860,GENERALI,07063689076
INS-762691768,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,01091330150
INS-720074872,NN HELLAS,05029597954
INS-899468536,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,29126818877
INS-421840966,NN HELLAS,12073700525
INS-308923604,GENERALI,15097571929
INS-163639362,INTERAMERICAN,18059679557
INS-646774337,ΕΟΠΥΥ,16018615966
INS-345517584,GENERALI,17059583729
INS-672005175,GENERALI,11121385759
INS-657028738,EUROLIFE FFH,28103939274
INS-106880440,EUROLIFE FFH,27116848761
INS-576049636,NN HELLAS,04049295780
