ΑΜΚΑ_ΑΤΟΜΟΥ,ΑΜΚΑ_ΑΣΘΕΝΗ,ΟΝΟΜΑ,ΕΠΩΝΥΜΟ,ΔΙΕΥΘΥΝΣΗ,ΤΗΛΕΦΩΝΟ,ΒΑΘΜΟΣ_ΣΥΓΓΕΝΕΙΑΣ
26098193145,20011270665,Λαυρεντία,Μαγκούφης,"Αμαριανού 78,, 43426 Καρδίτσα",(+30) 2681 707932,Σύζυγος
02029382656,07013366308,Ρεβέκα,Παράνου,"Αναβρυτού 62-23,, 636 54 Σπάρτη",+30 2393 757883,Τέκνο
22106048998,20049191177,Νίκανδρος,Δούβαλη,"Πάροδος Αγίου Προδρόμου 89,, ΤΚ 017 94 Ναύπλιο",210 7233336,Γονέας
03079439732,17018264607,Διονύσιος,Χρονοπούλου,"Γουβών 41,, 36012 Κατερίνη",2109383888,Σύζυγος
14025414862,31013414431,Ιωσηφίνα,Μποφός,"Βροντισμένης 60,, 72387 Βόλος",6979 501214,Γονέας
16105691329,28127739905,Χριστόφιλη,Αμυγδαλάκης,"Ξορυχτίου 71-08,, 156 26 Βόλος",210 2777154,Τέκνο
03014877997,02054846840,Γαβριήλ,Μανούκας,"Αγίου Γεωργίου Λαρίσης 54,, 25633 Αργοστόλι",2100689569,Γονέας
27066168212,27037831603,Βάγια,Δαρσακλή,"Πέρκου 32,, ΤΚ 878 03 Άμφισσα",+306996198285,Τέκνο
20105816770,05033229144,Γεώργιος,Αετόπουλος,"Κωσταραζίου 318,, 35331 Χαλκίδα",2070 059719,Γονέας
30126873174,30040535722,Σεραφείμ,Ανδρουλάκης,"Φυτιλή 6,, 170 92 Κέρκυρα",2600 750 801,Τέκνο
12066997647,09075935751,Ευπραξία,Τσάρκος,"Καρδιτσομαγούλας 85,, 558 38 Τρίκαλα",(+30) 2469 413271,Αδελφός/ή
07017953660,27065012171,Πασχαλιά,Μητροπούλου,"Φλαμουριάς 50-27,, 18977 Σπάρτη",2108232793,Αδελφός/ή
28034644070,02094582817,Πασχάλης,Τζουβέλης,"Λεωφ. Δάρα 82,, 67111 Άρτα",2880779396,Τέκνο
26029342622,30030355690,Αλκινόη,Σφούνης,"Πάρ. Καπανδριτίου 567-938,, ΤΚ 51250 Μεσολόγγι",20540 98 961,Αδελφός/ή
13026901470,22054760924,Θεοφάνης,Μαγκούφης,"Κρυόβρυση 58,, 249 03 Βόλος",2750093077,Σύζυγος
24068940414,14034333046,Μιλτιάδης,Μάντου,"Κοντακαιίκων 6,, ΤΚ 12703 Κέρκυρα",22080 12 677,Τέκνο
30015000962,30117970736,Αταλάντη,Ντόβας,"Χωριστής 500,, ΤΚ 32876 Ιωάννινα",+302595939738,Σύζυγος
26055925998,06022297963,Χρυσή,Βράσκου,"Λεωφ. Σελλασίας 80,, 563 49 Βόλος",+306986687969,Σύζυγος
14116762922,17113490589,Ησαΐας,Τσούπρας,"Αγραμπέλων 46,, 387 17 Κατερίνη",6976915162,Σύζυγος
18078132972,28085409185,Φιλοθέη,Χαλατσής,"Λαμπαίνης 9,, 24591 Φλώρινα",210 170 0108,Γονέας
15049696794,28016911391,Κωνσταντίνος,Δάφνη,"Μεσοβουνίων 46,, ΤΚ 437 37 Χαλκίδα",+30 2558 687080,Γονέας
16086936494,16022232139,Ιάσονας,Κουλαουσάρη,"Πολυθέας 774-176,, ΤΚ 660 04 Ζάκυνθος",210 483 2735,Σύζυγος
08010103064,29089974247,Αθανάσιος,Μπούκος,"Πολυρράχου 52,, ΤΚ 453 20 Δράμα",21380 07 924,Σύζυγος
23065409578,24128038851,Αριστείδης,Γαλανάκη,"Πευκοχωρίου 888,, 391 70 Καβάλα",(+30) 2911 032688,Τέκνο
25019300450,18025748771,Ζαμπέτα,Μαστρογιώργης,"Λεωφόρος Μοσιάς 09-59,, ΤΚ 31188 Χαλκίδα",210 480 3577,Αδελφός/ή
22095696885,15086812967,Ευτύχιος,Χατζαντώνης,"Μύρθιου 89,, 44474 Τρίκαλα",(+30) 6994 980689,Τέκνο
29117342558,14100276575,Βαλέριος,Παπανδρικοπούλου,"Βραχασίου 573,, 45095 Αγ. Νικόλαος",(+30) 2829 284859,Γονέας
03115583538,25039335722,Χρήστος,Μπαφέρα,"Αρβανίτη 04,, 63880 Ναύπλιο",(+30) 2332 238508,Γονέας
03066915234,09035474355,Αριστόβουλος,Κουκουλιάντας,"Δουναίικων 3,, ΤΚ 086 68 Πρέβεζα",2107914713,Αδελφός/ή
08088767194,21014214882,Πραξιτέλης,Δάρας,"Κεράμου 032,, ΤΚ 93185 Καρδίτσα",2090 373840,Σύζυγος
07040211186,01094138749,Παντούλα,Σαρρή,"Ασβεστοχωρίου 322-529,, ΤΚ 92527 Καρδίτσα",+30 6978 016368,Αδελφός/ή
10088796074,22124290376,Φοίβος,Βούλκος,"Πουλιτσίου 24,, 77556 Πρέβεζα",210 4739568,Τέκνο
22047592015,06104885538,Μένανδρος,Χαμαλίδου,"Μαμαλά 359,, ΤΚ 11778 Χίος",2660 100873,Αδελφός/ή
04030197435,29127054977,Ερασμία,Ταξίδου,"Καστανέας 363-607,, ΤΚ 486 08 Τρίκαλα",2970101819,Σύζυγος
31010695115,10070896366,Γαρυφαλλιά,Κάκκα,"Λεωφόρος Λητής 906,, 565 29 Κομοτηνή",6924089822,Τέκνο
20030454916,05050003039,Αδαμάντιος,Κουλαουσάρη,"Καπνοφύτου 111,, ΤΚ 67319 Ναύπλιο",(+30) 2401 779778,Αδελφός/ή
27097446082,18074510252,Αυγέρης,Κανταρελή,"Καλλιθέας Φαρσάλων 756-712,, 375 76 Λαμία",(+30) 2107 992821,Γονέας
16118932952,18036427434,Χριστιάνα,Ματεντσίδου,"Λεπτοπόδων 22,, 821 89 Κατερίνη",+302393825587,Σύζυγος
12065346601,17045286016,Σοφοκλής,Ντόβας,"Κοκκωνίου 9,, 437 61 Λευκάδα",6962 168 943,Τέκνο
20115752278,16109658536,Ιουλιανή,Ιατρόπουλος,"Μυλωνίδου 90,, ΤΚ 31238 Πύργος",2780508391,Τέκνο
08030052097,06013121168,Συμεών,Σαλταούρας,"Λυκοβρύσεως 12,, 12747 Αλεξανδρούπολη",+30 2202 536978,Αδελφός/ή
17059430472,04092373942,Βερόνικα,Γερούκη,"Αμαρίου 91,, 71368 Αργοστόλι",6988 210 214,Σύζυγος
08079625336,16014414473,Σαπφώ,Κουτσιουμάρη,"Δονούσης 146,, ΤΚ 587 72 Τρίκαλα",2030 048 982,Τέκνο
21065900588,26027622858,Ευσεβία,Βράσκου,"Πάροδος Κορμίστης 963-691,, 98839 Αλεξανδρούπολη",2890 042978,Αδελφός/ή
02104671287,26066066745,Φωκάς,Παπαευαγγελίου,"Δεσφίνης 6,, 55452 Γρεβενά",6942 224963,Γονέας
09115837227,23084904177,Ροδόφλος,Ζεγλίνα,"Κεραμιδίου 0,, ΤΚ 060 17 Ναύπλιο",2670 855769,Τέκνο
08060048142,27113052373,Χαραλαμπία,Ροδίτου,"Πλ. Δελφίνου 8,, 684 68 Καρδίτσα",2104294420,Σύζυγος
02105259894,05097701544,Ροδόφλος,Μπαλή,"Μυρόβρυσης 0,, 41334 Άμφισσα",210 371 7463,Γονέας
13068396964,24031811076,Βασίλειος,Δίγκας,"Τανάγρας 66,, ΤΚ 822 47 Καρπενήσι",+30 6924 211137,Αδελφός/ή
11017827874,15039120847,Αρχοντία,Ρίζος,"Κακοτρίχη 989,, ΤΚ 586 64 Κομοτηνή",6936 209427,Γονέας
02017244796,29124623847,Βενιζέλος,Γραμμένου,"Νεοχωρούδας 8,, 22125 Σπάρτη",(+30) 6952 982169,Τέκνο
10037143676,22119760181,Ζαφείρης,Σταυρίδου,"Νεστορίου 5,, 363 15 Λαμία",6936948282,Αδελφός/ή
27076277912,21027860167,Αυξέντιος,Ελευθερίου,"Πάροδος Δομνίστης 834,, ΤΚ 44322 Καρδίτσα",+30 6941 059997,Τέκνο
21127135084,14028927387,Χρυσόστομη,Γκίκας,"Αστριτσίου 9,, 06374 Αγ. Νικόλαος",6932 060 404,Σύζυγος
01106517860,30060618540,Ευρύκλεια,Κοντάκος,"Μεσοβούνου 116,, 03474 Χίος",+302740105375,Σύζυγος
22089043314,23092193431,Προκόπιος,Ζωντανού,"Πέρνης 07,, 04826 Αγ. Νικόλαος",6929 643080,Αδελφός/ή
29060279479,29089153869,Ταξιάρχης,Μόκας,"Λογκανίκου 462,, 85647 Ζάκυνθος",(+30) 2690 491741,Αδελφός/ή
28128050901,04053761735,Έλλη,Δημόπουλος,"Πύργων 416,, ΤΚ 78997 Σπάρτη",2830 250 033,Αδελφός/ή
31019223912,26052109103,Τατιάνα,Καρακυρίου,"Πάροδος Μηλιανών 50,, ΤΚ 256 63 Έδεσσα",(+30) 6972 096467,Σύζυγος
08114638073,12033485947,Ζαφείριος,Πίσπα,"Παπαγεωργίου 36,, 85390 Βέροια",2103647746,Γονέας
19050241401,15022112408,Ηρόδοτος,Τσανδήλας,"Πάρ. Διευχών 91-79,, ΤΚ 07637 Άρτα",2760851352,Γονέας
05105702566,05035038168,Θέκλα,Ζερβά,"Πλ. Κομπιτσίου 52,, 040 14 Λαμία",6979 250 083,Τέκνο
06024623899,27080244364,Λάσκαρης,Γκιριτζιώνη,"Ψυχικού 7,, ΤΚ 40681 Λαμία",27120 33 283,Γονέας
18065303741,14084911653,Πλούταρχος,Τακαντζάς,"Λεωφ. Μαρμάρου 390-098,, 21111 Καρπενήσι",2430 377 120,Αδελφός/ή
07048056092,17121932584,Ιούλιος,Αμπατζιάνης,"Λεωφ. Νυδρίου 984,, 82434 Κομοτηνή",210 0808505,Σύζυγος
30056587936,10068173071,Χιονιά,Κουκουθάκη,"Μεγάλου Βάλτου 102,, ΤΚ 00727 Ρόδος",2920 222 441,Γονέας
27126367381,05085179773,Θεολογία,Κολτσάκη,"Όρους 3,, 03397 Σπάρτη",210 9354882,Αδελφός/ή
20055055104,05095600700,Τρυφωνία,Τζαναβάρα,"Βελιών 78,, 56740 Λιβαδιά",29720 68 664,Γονέας
01089225148,30054419117,Ελευθέριος,Μαυρογονάτος,"Μικροκάμπου 56-39,, 995 78 Ρέθυμνο",(+30) 2676 202147,Αδελφός/ή
16080569551,14088767601,Άγγελος,Πευκιανάκης,"Περαίας 68,, 99429 Γρεβενά",2105500611,Γονέας
18129284798,23040941698,Θαλασσινή,Γαβριηλίδη,"Ξενίδη 558,, 15793 Κέρκυρα",2102658587,Αδελφός/ή
11126796260,12065536836,Αγνή,Φερεντίνος,"Γαζίου 1,, 328 31 Ηγουμενίτσα",2580941921,Τέκνο
19016681901,05019854916,Ρεγγίνα,Σαμανίδης,"Ξινόβρυσης 5,, 777 49 Αθήνα",2760 076 175,Σύζυγος
09120459717,14059789633,Λέανδρος,Λεντζίου,"Μπολατίου 2,, ΤΚ 12027 Βόλος",2280 667 291,Αδελφός/ή
12049088749,16053490058,Λουλουδένια,Αποστολάκης,"Μυρμηγκίου 57,, ΤΚ 077 97 Ρόδος",(+30) 2405 492550,Αδελφός/ή
25038581772,24038831107,Ρήγας,Δρόσου,"Μπενέτου 453,, 33469 Ερμούπολη",+306995983046,Γονέας
27110409085,28014559414,Μαρία,Τσέλιος,"Πεστών 981-420,, ΤΚ 514 78 Άρτα",+302969696819,Τέκνο
30035193777,27034768539,Σωτήριος,Μάλαμα,"Ζίτσης 25,, 602 33 Γρεβενά",210 052 3678,Γονέας
02025252901,18015262859,Τερψιχόρη,Σακελλαρίου,"Αγραφιώτη 4,, 863 49 Ξάνθη",6966 372 329,Τέκνο
29056277210,02057448315,Αγαθοκλής,Μανελίδης,"Ζαννίκου 715,, ΤΚ 66514 Καλαμάτα",210 6022559,Τέκνο
15038703626,14074851518,Γιολάντα,Κραββαρίτης,"Κοντολιανίκων 158-734,, ΤΚ 413 95 Καρδίτσα",6952 848 095,Γονέας
06079262406,12063020578,Σωτήριος,Πευκιανάκης,"Τσαγκαράδας 271,, ΤΚ 340 50 Καρδίτσα",+30 2058 169204,Γονέας
05039140448,12070149085,Πιερρίνα,Γεωργούλα,"Πλ. Λυγιά 5,, 16650 Ιωάννινα",2106124584,Σύζυγος
21025072727,18082375574,Χριστόφορος,Πέττα,"Καλεντίνης 842-281,, ΤΚ 867 48 Λευκάδα",20730 66 270,Γονέας
05084926589,17062483938,Ανθούλα,Χρυσοβέργης,"Δαΐκου 93,, 771 58 Κόρινθος",+30 6935 852898,Γονέας
29125130973,17128769984,Γερακίνα,Ζαρζάνη,"Παναιτωλίου 27,, ΤΚ 86311 Φλώρινα",2104064446,Γονέας
09105664121,08014390037,Διογένης,Βλαχοδήμου,"Κιορίδου 5,, 364 90 Πολύγυρος",(+30) 2616 447488,Αδελφός/ή
20025858128,05013746304,Χαράλαμπος,Μάλαμα,"Πάρ. Τριχωνίου 577-160,, ΤΚ 088 98 Κόρινθος",2910 331 879,Αδελφός/ή
04044931848,08029158344,Κλημεντίνη,Βιολάτος,"Πλατεία Σχίνων 616,, 24668 Ηγουμενίτσα",2335065426,Σύζυγος
06094924689,04090655341,Ναταλίνα,Δημητρίου,"Πλατεία Αγιοχώριον 05,, ΤΚ 250 55 Έδεσσα",22600 16 343,Σύζυγος
23055324875,02108937952,Ευλαμπία,Ξυγκάκου,"Ηρακλίτσης 33,, 67479 Κοζάνη",2178095869,Σύζυγος
24056535455,16080159744,Ελπίδα,Αλεξόπουλος,"Ριζών 89,, ΤΚ 33637 Καστοριά",6980394246,Τέκνο
06037245795,21073087410,Δανάη,Καπανταϊδάκη,"Κουτσιουμάρη 54,, ΤΚ 127 39 Πολύγυρος",+306984953056,Τέκνο
19026208149,12047405264,Υακίνθη,Χατζηδάκη,"Τουρνά 9,, 770 90 Γρεβενά",(+30) 6964 365239,Σύζυγος
21066685949,11119429208,Ιερόθεος,Κοκκίνου,"Βερβίτη 58,, 79612 Κιλκίς",210 100 5430,Αδελφός/ή
01084533804,15046310029,Ηρακλής,Μπακοστεργίου,"Λεωφ. Κομνίνης 988-999,, 10407 Αργοστόλι",26400 27 067,Αδελφός/ή
07038209910,09048948317,Ναπολέων,Ανανιάδου,"Βιλιβίνης 1,, ΤΚ 38715 Καλαμάτα",+30 2622 672221,Τέκνο
06016285744,11074219425,Δημοσθένης,Τασιούλας,"Πολυδενδρίου 186-175,, 70500 Βόλος",29570 79 137,Αδελφός/ή
08064539779,02045074442,Μαγδαληνός,Σπανίδου,"Μεσοχώρας 4,, 420 64 Χίος",210 809 3292,Γονέας
19069498769,01032250472,Σμαράγδα,Κελαϊδώνης,"Μαρτιάδου 19,, 81909 Βέροια",(+30) 2122 369461,Σύζυγος
29087348135,12033841139,Θεοφάνης,Περιστερόπουλος,"Πάρ. Βυζικίου 39,, ΤΚ 37175 Ηράκλειο",(+30) 2313 555203,Τέκνο
27076177998,29055568715,Ασημής,Ζώνιος,"Παλαιοχώρας 34,, ΤΚ 806 08 Άμφισσα",+302667549488,Τέκνο
03025667804,09016187657,Ευθαλία,Γκούβελος,"Πέττα 114,, ΤΚ 60435 Κόρινθος",6955 428217,Σύζυγος
01036694165,12070894024,Αγησίλαος,Κεσαλίδης,"Ζωριάνου 33,, 36772 Καρπενήσι",2600 727 041,Γονέας
08059366567,26103795131,Λεώνη,Ρόγγα,"Κλοκοτού 88,, 690 79 Πολύγυρος",2230 954323,Γονέας
19129852938,07046156736,Κυβέλη,Σεβδάς,"Περίου 01,, 06364 Λιβαδιά",6932 864709,Σύζυγος
09075532670,04010715845,Κλεόπας,Δήμου,"Κατσιμάλη 2,, 849 27 Πύργος",+302176818915,Σύζυγος
18046100599,29052351596,Γκόλφω,Κουτσουνάκη,"Αραπίδου 1,, 68421 Καστοριά",(+30) 2681 047547,Αδελφός/ή
21027940447,21065440042,Αλεξάνδρα,Μανουσοπούλου,"Αλικανά 22-19,, 72219 Ρέθυμνο",2600 668 352,Γονέας
03027579939,06121677457,Γλαύκη,Ζαχαρίου,"Καλής 081,, 85792 Τρίκαλα",6951 921221,Αδελφός/ή
19117202840,11083195810,Σεραφεία,Χαλκίδου,"Οιχαλίας 9,, 99486 Λιβαδιά",21690 91 715,Σύζυγος
01045731911,13110217279,Αμφιθέα,Λαφατζής,"Λεωφόρος Δερβενίου 53-83,, 55104 Πύργος",210 816 4083,Τέκνο
17085676477,14097777430,Γιασεμή,Παρασκευόπουλος,"Λεωφόρος Μαμουλάδας 16-82,, ΤΚ 916 30 Λιβαδιά",21750 16 945,Σύζυγος
11107610262,08043126184,Αδαμαντία,Γεωργουλάκη,"Γιακαμόζη 456-446,, 60121 Ζάκυνθος",(+30) 6965 738793,Σύζυγος
29107700166,25129600754,Αγαθάγγελος,Ραχωβίτσας,"Στενού 4,, 71785 Άρτα",6917 350 033,Αδελφός/ή
28098588054,31083088108,Σωκράτης,Καρακυρίου,"Τσάκη 0,, ΤΚ 819 31 Καρδίτσα",2630 539640,Τέκνο
30057832014,07024082068,Βάγια,Παντζέκος,"Λυκοποριάς 1,, 933 04 Σάμος",+30 6903 161347,Τέκνο
07039576389,25100618209,Φλοριάντ,Χαλαντζούκα,"Πανδρόσου 25-78,, ΤΚ 89151 Λάρισα",2300162626,Γονέας
04089186914,21070724687,Βαλάντης,Λώλος,"Μικροχωρίου 96-13,, ΤΚ 07635 Κόρινθος",2280 365 960,Γονέας
27128419272,28066373927,Κωστούλα,Τόλη,"Πλατεία Παπαδιανίκων 238,, 42706 Μυτιλήνη",2950727415,Γονέας
29029684332,26062004221,Ιερόθεος,Φαρμάκη,"Βελεστίνου 15,, ΤΚ 50241 Ξάνθη",6901398658,Γονέας
19085063661,10069747186,Όθων,Αγγελουσοπούλου,"Λιθίου 53,, 40858 Κοζάνη",+30 2536 955457,Σύζυγος
24127612776,18049979138,Αλέξιος,Γεωργαλάς,"Πάροδος Περιθωρίου 821-462,, ΤΚ 65968 Χανιά",6916 419615,Σύζυγος
27017659374,17052043799,Διονύσιος,Βασιλάκη,"Λιβαρτζίου 5,, ΤΚ 148 48 Λευκάδα",2109752787,Αδελφός/ή
09079522105,14088475989,Κλεόπας,Δημητρίου,"Τσακίρη 5,, ΤΚ 619 92 Κατερίνη",2220 318 017,Αδελφός/ή
24018957772,30044605777,Μακάριος,Σμυρνιώτης,"Δάφνου 7,, ΤΚ 490 12 Αγ. Νικόλαος",2103337283,Γονέας
23079736533,30012344134,Μακάριος,Αντωνέας,"Λιμεναρίων 1,, ΤΚ 31554 Πύργος",6993955759,Αδελφός/ή
05104752914,11091617357,Νίκανδρος,Ψάλτης,"Βαλανιδούσσας 56,, 14113 Ιωάννινα",2740 151716,Σύζυγος
27059758975,11109285511,Μαριάνθη,Βρακά,"Μαυροκκλησίου 792,, 581 10 Βόλος",2790 826 011,Σύζυγος
16040060991,24057191557,Ευθύμιος,Φουρκιώτη,"Ιμέρων 472-328,, 553 59 Καλαμάτα",+306901048720,Γονέας
02099266965,23106607173,Βασιλεία,Πολατίδου,"Γαλανάκη 36,, 78322 Κοζάνη",210 937 3531,Γονέας
03048514313,27036717256,Περικλεία,Τσεμπερλίδης,"Στειρίου 02-95,, 481 91 Τρίπολη",6925 247561,Σύζυγος
29100450400,21099635187,Ήβη,Μητσοπούλου,"Πληκατίου 29,, 53767 Άμφισσα",+302922393663,Σύζυγος
11010341575,11128938704,Αλκμήνη,Φραγκόπουλος,"Καπνιά 35,, 09520 Πύργος",2108216675,Τέκνο
24056750722,19091649820,Αριστοτέλης,Μαντζουράνης,"Κεραμίου 4,, ΤΚ 697 16 Τρίκαλα",+30 6940 082443,Αδελφός/ή
07114874922,05049276587,Καλλιρρόη,Κολαΐτου,"Μελισσουργού 630-508,, ΤΚ 42018 Λιβαδιά",210 780 4139,Αδελφός/ή
17105792022,30100690757,Σωτηρία,Πανούσης,"Πλ. Ακρίων 70,, ΤΚ 38373 Ιωάννινα",2270 179 445,Αδελφός/ή
07048360382,18080199285,Εύα,Βακαλάκης,"Βαρύπετρου 37,, 071 19 Κομοτηνή",+30 6937 491027,Γονέας
20026308308,10056944049,Κωνσταντίνα,Τσακαλάκου,"Δουλουφάκη 8,, ΤΚ 10279 Σέρρες",(+30) 6984 581476,Τέκνο
14099827958,11074332056,Πύρρος,Τζιρατούδη,"Νώε 887,, ΤΚ 766 91 Σέρρες",+30 6963 126603,Σύζυγος
17115298411,13128159798,Τηλεμαχος,Μπότης,"Καλαμίου 73,, 75985 Μεσολόγγι",6940 086416,Γονέας
13039778686,01075662062,Φεβρωνία,Σπασόπουλος,"Βουνιχώρας 30,, ΤΚ 764 75 Κιλκίς",2170 727497,Αδελφός/ή
22018598303,20076928187,Γαρύφαλλος,Δουκίδου,"Πλ. Κατταβίας 16-70,, 58993 Κιλκίς",+30 2308 465521,Τέκνο
13039449297,16015765443,Θαλής,Καρατζαφέρης,"Αρδαμερίου 96,, 332 99 Φλώρινα",6998 526 789,Αδελφός/ή
14030250615,24077346165,Ευριπίδης,Αβραμίδου,"Δραγοψάς 93,, ΤΚ 34670 Πρέβεζα",6995 710016,Τέκνο
04017701251,12107533092,Αμβρόσιος,Αμυγδαλάκης,"Πάρ. Γλυφάδα 332-366,, 439 62 Χίος",6984 750 317,Τέκνο
04044872166,05118797992,Ροδάνθη,Κανελλή,"Ραφήνας 66,, 00663 Ερμούπολη",6969 098227,Σύζυγος
17095059054,08094034011,Ευστρατία,Σταμούλη,"Διοπούλου 93,, 98321 Κιλκίς",2109279485,Σύζυγος
20097671805,25083159591,Πασχάλης,Κεσαλίδης,"Πάρ. Κορνοφωλεάς 06,, 38545 Φλώρινα",2101246835,Τέκνο
06038717280,18070421291,Άνθιμος,Καραγρηγορίου,"Κερδυλίων 57,, 88183 Ρέθυμνο",2101085271,Σύζυγος
25070073983,20115409171,Πανδώρα,Ματεντσίδου,"Δροσιά 860-068,, 55940 Κόρινθος",+30 2092 665895,Γονέας
23058504855,20029803026,Γραμματική,Μανουσοπούλου,"Κορησού 46,, 70710 Λάρισα",(+30) 2180 605234,Σύζυγος
28069918403,21104716265,Μάρκος,Μαμμής,"Γιανναίων 54,, 85093 Έδεσσα",6996 626 098,Αδελφός/ή
13096886848,18041465931,Κύρος,Στοφοριάδης,"Πάρ. Καλής Κώμης 806-090,, 97726 Καλαμάτα",6918634568,Σύζυγος
16046969053,08067243556,Γαλάτιος,Χατζηκύρκος,"Πιτροφού 1,, 88842 Αθήνα",6900 621013,Τέκνο
09116114621,02019348929,Ιγνάτιος,Αποστολάκης,"Τσιπλίκωφ 3,, ΤΚ 65143 Κομοτηνή",+302043482838,Σύζυγος
06048908958,13046581206,Σωζούσα,Λιτίνας,"Αντικυθήρων 406,, ΤΚ 77732 Χανιά",2744092324,Τέκνο
26045745884,03011519981,Γεωργία,Γκόνη,"Ρουσσοσπιτίου 59,, 586 73 Ζάκυνθος",21810 77 248,Τέκνο
01119071867,27080752224,Νέαρχος,Βαρσάμης,"Φαββάτα 029-836,, 89327 Ηγουμενίτσα",210 8183454,Τέκνο
06105644567,14057322062,Χρυσαφένια,Πάνου,"Αμβροσίας 47,, 48541 Ιωάννινα",2525060451,Αδελφός/ή
25096108385,17118873975,Ηρόδοτος,Ιωσηφίδου,"Λοφίσκου 14-28,, ΤΚ 85001 Άρτα",(+30) 6900 333582,Αδελφός/ή
