ΑΜΚΑ_ΝΟΣΗΛΕΥΤΗ,ΒΑΘΜΙΔΑ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
05067070038,Προϊστάμενος,Επείγοντα
25077967332,Νοσηλευτής,Καρδιολογία
14119259652,Προϊστάμενος,Οφθαλμολογία
13128563885,Προϊστάμενος,Νευρολογία
10119405681,Προϊστάμενος,ΩΡΛ
10117035815,Νοσηλευτής,Γυναικολογία
22017231261,Βοηθός Νοσηλευτή,Ογκολογία
08126232536,Βοηθός Νοσηλευτή,Ογκολογία
20126727678,Βοηθός Νοσηλευτή,ΩΡΛ
04057762832,Βοηθός Νοσηλευτή,Καρδιολογία
05109258558,Νοσηλευτής,Επείγοντα
01018799285,Προϊστάμενος,Οφθαλμολογία
08058930587,Προϊστάμενος,Οφθαλμολογία
18046389102,Βοηθός Νοσηλευτή,ΜΕΘ
27096518080,Βοηθός Νοσηλευτή,Γαστρεντερολογία
19046880487,Βοηθός Νοσηλευτή,Ουρολογία
23059227024,Προϊστάμενος,Γαστρεντερολογία
06047614649,Βοηθός Νοσηλευτή,Νευρολογία
28028031112,Νοσηλευτής,Ογκολογία
25059841685,Βοηθός Νοσηλευτή,Χειρουργική
05019665938,Βοηθός Νοσηλευτή,Γυναικολογία
05076734352,Νοσηλευτής,Γαστρεντερολογία
26100094211,Βοηθός Νοσηλευτή,Παιδιατρική
30069480731,Νοσηλευτής,Ορθοπεδική
23116959070,Νοσηλευτής,Ενδοκρινολογία
19129777350,Προϊστάμενος,Επείγοντα
30089715268,Προϊστάμενος,Χειρουργική
27046753641,Βοηθός Νοσηλευτή,ΩΡΛ
05088386643,Βοηθός Νοσηλευτή,Νευρολογία
27059740869,Νοσηλευτής,Ογκολογία
23018833514,Νοσηλευτής,Ογκολογία
12037359314,Νοσηλευτής,Νευρολογία
29039992765,Βοηθός Νοσηλευτή,Ενδοκρινολογία
09029521356,Βοηθός Νοσηλευτή,Οφθαλμολογία
05036745427,Νοσηλευτής,ΩΡΛ
06010036468,Βοηθός Νοσηλευτή,Ουρολογία
01086179006,Νοσηλευτής,Ουρολογία
01059746426,Νοσηλευτής,Νευρολογία
20036149369,Νοσηλευτής,ΩΡΛ
02066476243,Προϊστάμενος,Καρδιολογία
15018563508,Νοσηλευτής,Ορθοπεδική
06028311220,Βοηθός Νοσηλευτή,Νευρολογία
10047575259,Βοηθός Νοσηλευτή,Χειρουργική
05029958451,Νοσηλευτής,Πνευμονολογία
05018692904,Βοηθός Νοσηλευτή,Ογκολογία
26057814467,Προϊστάμενος,Καρδιολογία
27017521250,Βοηθός Νοσηλευτή,Γυναικολογία
12046562974,Βοηθός Νοσηλευτή,ΜΕΘ
02060030426,Βοηθός Νοσηλευτή,ΜΕΘ
26038052001,Νοσηλευτής,Ογκολογία
27068908645,Βοηθός Νοσηλευτή,Ορθοπεδική
16049606025,Προϊστάμενος,Νευρολογία
26027366001,Βοηθός Νοσηλευτή,Γαστρεντερολογία
07029554131,Νοσηλευτής,ΜΕΘ
25119412075,Νοσηλευτής,Ογκολογία
08070044736,Νοσηλευτής,Γαστρεντερολογία
30038495478,Νοσηλευτής,Παιδιατρική
01119787804,Νοσηλευτής,ΜΕΘ
03117820339,Νοσηλευτής,Ενδοκρινολογία
30079525039,Νοσηλευτής,Επείγοντα
29088759148,Νοσηλευτής,Ογκολογία
31056342606,Νοσηλευτής,Ογκολογία
12086271854,Νοσηλευτής,Ενδοκρινολογία
16059222404,Νοσηλευτής,Ενδοκρινολογία
15078193967,Νοσηλευτής,Γαστρεντερολογία
13088859415,Νοσηλευτής,Επείγοντα
30050072873,Νοσηλευτής,Επείγοντα
29106979805,Βοηθός Νοσηλευτή,Γυναικολογία
09126344643,Νοσηλευτής,ΜΕΘ
21027177831,Βοηθός Νοσηλευτή,Γυναικολογία
13079080143,Νοσηλευτής,Ορθοπεδική
08066201038,Βοηθός Νοσηλευτή,Νευρολογία
31106962635,Νοσηλευτής,Νευρολογία
27046639888,Προϊστάμενος,Παιδιατρική
23067780241,Νοσηλευτής,Γαστρεντερολογία
14067544474,Βοηθός Νοσηλευτή,Γυναικολογία
03049483304,Βοηθός Νοσηλευτή,ΜΕΘ
27036371488,Βοηθός Νοσηλευτή,Ορθοπεδική
26107012918,Νοσηλευτής,Ογκολογία
02048053449,Προϊστάμενος,Νευρολογία
26017065899,Βοηθός Νοσηλευτή,Καρδιολογία
02046534568,Νοσηλευτής,Ουρολογία
26109779226,Νοσηλευτής,Ογκολογία
21037829406,Νοσηλευτής,Πνευμονολογία
17066089196,Βοηθός Νοσηλευτή,Παιδιατρική
14117333944,Νοσηλευτής,Καρδιολογία
22129633534,Βοηθός Νοσηλευτή,Ογκολογία
12126334304,Νοσηλευτής,Χειρουργική
13086961070,Βοηθός Νοσηλευτή,Καρδιολογία
27029081490,Νοσηλευτής,Νευρολογία
26067992049,Βοηθός Νοσηλευτή,Χειρουργική
01019214971,Προϊστάμενος,Ενδοκρινολογία
06117490221,Νοσηλευτής,Παιδιατρική
01117326244,Βοηθός Νοσηλευτή,Ενδοκρινολογία
22057224885,Βοηθός Νοσηλευτή,Ουρολογία
03048995864,Βοηθός Νοσηλευτή,Ογκολογία
09089264470,Νοσηλευτής,Χειρουργική
24017343758,Βοηθός Νοσηλευτή,Ουρολογία
11106298473,Βοηθός Νοσηλευτή,Ενδοκρινολογία
02107622397,Νοσηλευτής,Γυναικολογία
22117866739,Νοσηλευτής,Ενδοκρινολογία
16086450108,Βοηθός Νοσηλευτή,Νευρολογία
24108900767,Νοσηλευτής,Ορθοπεδική
29109686417,Νοσηλευτής,Πνευμονολογία
05127890994,Προϊστάμενος,Παιδιατρική
04027088201,Νοσηλευτής,Παιδιατρική
21039215689,Νοσηλευτής,Παιδιατρική
03037926963,Νοσηλευτής,Ορθοπεδική
01058014536,Βοηθός Νοσηλευτή,Ορθοπεδική
06086431193,Νοσηλευτής,Παιδιατρική
03017531168,Προϊστάμενος,Ουρολογία
29028813181,Βοηθός Νοσηλευτή,Ογκολογία
09119413416,Νοσηλευτής,ΩΡΛ
17056131879,Προϊστάμενος,ΜΕΘ
11069443542,Νοσηλευτής,Γυναικολογία
28099851293,Νοσηλευτής,Ενδοκρινολογία
06057825654,Βοηθός Νοσηλευτή,Επείγοντα
11109402742,Προϊστάμενος,ΩΡΛ
17028848865,Νοσηλευτής,Γυναικολογία
16038151301,Νοσηλευτής,Ορθοπεδική
31059975972,Νοσηλευτής,Γαστρεντερολογία
12119430692,Νοσηλευτής,Παιδιατρική
17086280299,Νοσηλευτής,Γυναικολογία
22116220421,Νοσηλευτής,Καρδιολογία
09127911828,Νοσηλευτής,Ογκολογία
08027239643,Βοηθός Νοσηλευτή,Καρδιολογία
20120057109,Νοσηλευτής,ΜΕΘ
02127612548,Νοσηλευτής,Ογκολογία
17077991574,Προϊστάμενος,Ορθοπεδική
15067700652,Νοσηλευτής,Χειρουργική
06079476405,Προϊστάμενος,ΜΕΘ
11126055066,Βοηθός Νοσηλευτή,Παιδιατρική
16089904750,Νοσηλευτής,Οφθαλμολογία
12106789983,Βοηθός Νοσηλευτή,Ογκολογία
09109908394,Νοσηλευτής,Ενδοκρινολογία
08129616542,Προϊστάμενος,Ενδοκρινολογία
29017122624,Νοσηλευτής,ΩΡΛ
23107913462,Προϊστάμενος,Παιδιατρική
26077906631,Βοηθός Νοσηλευτή,Πνευμονολογία
08118493574,Βοηθός Νοσηλευτή,Νευρολογία
29059459431,Βοηθός Νοσηλευτή,Ορθοπεδική
14046610707,Προϊστάμενος,Νευρολογία
21098434179,Νοσηλευτής,Νευρολογία
24079926715,Βοηθός Νοσηλευτή,Γαστρεντερολογία
05088335722,Βοηθός Νοσηλευτή,Πνευμονολογία
15106199373,Νοσηλευτής,Καρδιολογία
31019131751,Νοσηλευτής,Καρδιολογία
18088196096,Βοηθός Νοσηλευτή,Ουρολογία
06057292609,Βοηθός Νοσηλευτή,Επείγοντα
