ΑΜΚΑ_ΒΟΗΘΟΥ,ΑΜΚΑ_ΑΣΘΕΝΗ,ΚΩΔΙΚΟΣ_ΠΡΑΞΗΣ,ΗΜΕΡΟΜΗΝΙΑ_ΩΡΑ
03086348216,17032098610,Β315905.17,2026-07-29 07:32:23
24029044439,26010384767,K516421,2026-07-23 02:00:36
06079476405,08040407304,X634953,2025-01-13 13:57:43
20027156874,29059153091,B318429,2025-02-08 14:20:39
22056473676,07100613941,X696485,2026-05-02 00:06:29
20027156874,23094144204,B313905.7,2024-05-05 09:51:08
20036149369,10106784062,B316433,2024-03-26 19:01:12
29106979805,13020050392,X636951,2025-07-27 04:44:56
29039992765,24074647649,K516251,2026-04-15 14:01:13
16038345197,08056015512,X639737,2025-04-01 07:46:08
16079061012,25096817808,X646389,2026-02-07 14:43:30
09089264470,01073952981,B316705.59,2026-08-01 18:14:44
26107012918,13106571938,X683431,2025-09-20 12:24:11
10088406393,02061128186,X635059,2024-06-24 09:13:31
22116220421,18024943363,X683957.9,2025-03-29 14:48:10
10088406393,04093694075,B316705.57,2026-04-12 03:28:46
07126830003,27049302625,X642121,2026-12-24 00:20:12
18098586120,17104539137,K517611,2025-12-07 16:51:00
06106702650,25097539050,X697845,2025-06-16 19:32:37
24107206566,09015348959,A401547,2024-04-13 05:32:43
05029958451,04028585758,K508301,2026-06-22 20:34:54
24127184919,25040939022,B314847,2024-03-17 07:20:30
06067270098,20116613215,X640399,2024-05-13 22:07:41
21019870610,14041388383,X663757.29,2026-09-18 06:25:49
16089711199,23052027490,X676251,2025-08-09 22:20:01
27116381556,18056321507,K514779.1,2026-04-22 07:34:39
13088859415,02050610442,B313605.69,2026-01-31 00:58:31
28106015571,04067317209,Β311905.166,2026-08-09 00:03:31
17028848865,13105075926,X697999,2025-09-17 10:32:10
11109402742,15019994269,B313605.390,2025-01-03 10:53:26
30128559854,29083041482,B311017,2024-05-10 20:54:13
15087050344,17052202734,X641769,2024-06-16 02:54:34
27068908645,21058372585,B304897,2026-10-03 23:13:35
10086060998,21071727358,X704661,2026-07-19 09:01:28
28057037026,23024084305,X610189,2025-05-15 16:20:15
04056123282,02014679720,X621287,2026-07-05 18:56:12
20027156874,23020213180,X675063,2025-08-25 09:07:41
04066241219,01019794413,X626891,2024-10-15 07:55:17
13126695715,28129192511,X669279,2025-09-27 08:38:44
02107622397,26116001558,X709501,2026-12-28 08:05:56
09089264470,30049045941,X633937.138,2024-05-27 05:05:20
31039466896,13116011262,X624161,2026-06-30 05:56:16
20117228047,27059436882,X631957.156,2025-01-17 22:10:40
31127128715,05049598041,X658957.18,2025-12-14 13:41:01
27096518080,19126278391,B308269,2026-01-17 15:03:47
23108566165,11023777569,K517979.4,2024-10-08 06:12:30
17056131879,29046796767,X680539,2024-10-27 08:39:07
05026238460,20056369934,X691029,2026-08-05 21:33:23
28088884090,12054677727,B313605.277,2026-03-03 03:41:32
19038209414,19056668179,K512977.17,2024-05-24 02:59:58
31127162692,03074361005,X645957.12,2025-08-22 17:10:26
30066643000,26116001558,B313605.364,2025-03-10 02:24:47
05026238460,25037329843,X680745,2026-10-15 05:39:23
13129208275,24088270004,B300045,2024-01-10 20:53:43
30109708330,25079966790,X657083,2026-03-08 02:38:53
22057255499,31076557583,X700467,2026-06-20 00:09:53
15119510000,08066404879,B306045,2025-01-29 12:24:24
24107206566,14040203436,X651225,2026-04-20 22:47:43
05088386643,19113123486,B311907,2027-01-09 23:49:39
29038506566,14025990939,Β311905.181,2024-05-21 07:49:17
24059714537,15075409500,A403799.33,2025-04-04 06:32:01
15089599298,10101594457,B316705.139,2025-05-22 16:16:32
16016380461,17096577027,X632209,2024-01-05 16:56:45
20118029005,15110635695,X665599,2024-10-07 14:06:11
18046450046,11016551784,B313091,2024-01-08 10:43:35
24118100064,28109343508,B307047,2025-08-29 05:29:17
12017727071,27021596979,X633937.204,2026-02-18 19:35:53
22066909048,04060402705,X677067,2026-04-19 09:26:52
25099582251,26060546581,X621289,2026-12-05 02:47:47
30076480256,09067306356,K508475,2026-07-15 02:54:06
02048053449,07021670072,B318157,2025-04-23 00:09:30
30089715268,03110412557,X631957.168,2025-03-08 19:59:42
03086348216,10045979086,X674959,2024-07-03 19:45:51
04107581800,14121205078,X684651,2024-02-05 00:42:10
05118761571,13104762159,K507381,2024-11-24 11:54:25
15068993499,11041262159,X706305,2027-01-09 01:01:38
22057224885,03053762521,A402773,2025-10-21 02:44:58
17126815889,24028756517,B313493,2025-07-17 22:04:49
30118698533,02014906722,B313605.22,2026-06-13 08:59:31
26038052001,05044975376,X697399,2025-05-21 10:38:53
22089289312,07074290953,B316705.79,2026-12-27 01:46:10
29038506566,15088955457,X678599,2024-04-07 16:50:49
17019408693,08068178643,B313197,2024-07-07 07:14:10
01078222862,19026464206,X719067,2024-05-15 13:31:11
13126695715,02073141223,X673465,2026-12-28 02:45:36
22057224885,09054775590,B313605.320,2026-04-10 20:49:33
29109686417,06095496192,X643127,2026-06-17 18:27:45
03056212030,24051894510,X679259,2026-02-07 08:23:25
22046863505,03041966035,K518381,2025-07-08 02:52:53
01046741139,09027506267,X603967,2025-09-02 02:43:44
01129618953,14013779794,B312393,2025-09-22 21:49:37
28018712927,15077550306,A400237,2025-06-28 17:47:29
02057856361,30062036482,X708769,2026-03-13 08:35:48
02078022955,15129926373,X626789,2026-09-08 04:54:32
18039105982,17034854831,X657489,2024-07-18 07:14:53
30059828244,02094506858,X634869,2024-11-15 13:52:36
21048057415,24080521297,X666363,2026-12-15 01:31:10
04037503050,08052474629,X696651,2024-02-26 22:22:55
15017994679,12031856245,X672959,2025-09-10 20:08:42
14048983004,28029958876,X661591,2024-02-26 06:16:16
07068540070,24110914964,B311017,2024-11-20 02:06:01
05038245675,30017080394,X625639,2024-04-10 20:53:12
26049275048,29047025554,X704281,2026-12-31 09:20:08
23018735761,06115101486,X633937.268,2025-05-05 02:40:01
23018735761,03030449488,X676269,2024-12-13 04:50:29
20118029005,28018902320,A402689,2026-05-15 19:26:27
23059304171,13121141674,Β315905.110,2026-04-27 10:22:35
04117489700,25016757317,X712299,2025-08-30 02:40:20
24079926715,06062090182,X702239,2025-03-10 05:34:54
29049650848,18056607698,X672483,2025-07-15 08:16:30
24116199023,20031251959,X629559,2025-11-28 20:29:45
16059222404,19045901297,X634067,2026-11-07 16:23:23
17129595144,19061441910,X688639,2024-09-13 15:08:31
27028634014,12101180343,B304411,2026-04-15 06:29:33
03079784188,13060274236,X668209,2025-01-04 19:44:38
21048057415,06033541967,X675069,2025-02-12 06:44:02
13049573563,14059150341,B316305.25,2026-04-15 16:40:34
14026323754,26108893872,X600279,2025-09-10 13:10:36
06076944552,08120838242,B313551,2024-07-25 19:53:43
31038701390,20091661155,Β311905.88,2026-08-28 13:19:42
28048253867,03120089029,X665859,2026-05-30 12:06:42
24109192383,27104074096,X650991,2024-12-15 00:36:06
13128886585,10025629925,X683961,2024-06-17 20:53:27
01109198508,29119770603,X645957.4,2025-11-29 21:40:10
11107461794,10085010689,X638169,2026-02-09 14:26:57
17028848865,23045816286,X633051,2026-06-14 15:58:03
05076734352,02079798360,X631329,2025-02-23 02:12:21
23046979828,08046000155,X624589,2024-07-12 15:43:48
10038736913,22111517144,Χ639557.1,2026-04-28 17:24:00
25116313213,04021713072,X650521,2025-12-02 10:15:03
14109654575,26028963377,X657957.4,2024-03-14 15:38:44
28018712927,15057072430,X631957.131,2025-03-31 12:50:22
26076648963,24120250142,K504279,2024-09-09 00:31:22
27069498843,23084135039,X680099,2024-06-06 00:19:25
13059468434,30114210726,X647483,2025-06-19 00:22:52
18067010293,25118885328,X702979,2025-12-28 21:31:21
07116279027,01022181948,X623569,2025-03-26 13:56:57
23087652129,24119858983,X693227,2025-10-25 06:43:09
02127612548,27113724702,X636589,2024-11-14 16:43:07
03117001638,19107565490,X635543,2024-06-14 01:08:28
27058235299,17041563178,X639759,2024-09-25 16:21:56
09019562411,21075433275,A401565,2025-04-15 21:39:24
25126627516,10021202480,Β315905.7,2024-05-11 13:23:23
20118029005,04046236438,X630461,2025-05-25 09:19:56
10116142591,07064395810,K517163,2025-12-31 21:21:03
14026323754,03051091658,A402661,2026-03-20 00:29:18
08046234626,27024865927,X611619,2026-02-24 03:28:09
13129208275,27055765031,X648939,2025-09-06 23:38:31
13129208275,26098907876,K500691,2026-02-14 14:43:36
09037229373,24123353091,K503085,2025-07-29 09:28:22
13129274742,21059935105,X663757.32,2025-06-10 04:52:16
24107406710,09084792077,X694519,2025-03-31 00:30:36
24028237708,16012347624,X699199,2025-05-10 23:43:01
15097845869,24028010681,K516391,2024-05-24 05:32:09
19067764454,02082042953,X611799,2024-04-11 20:25:11
19109063851,24114582251,X633937.179,2026-10-16 13:37:20
17086545716,08101957865,Β311905.161,2026-04-26 02:34:03
05038245675,20114817865,X633937.24,2024-06-27 11:20:29
23018735761,15108262011,X622241,2024-03-19 16:35:29
26027366001,10053202229,X637409,2024-03-10 23:10:38
30109708330,06056688614,X625641,2025-12-26 23:40:58
13128563885,23052056080,B308807,2024-03-14 01:18:41
25068715578,14085908394,X704493,2024-12-22 05:43:12
30128559854,24122205500,X603913,2026-01-29 13:35:45
20087701735,25029831599,X651011,2024-05-09 05:07:30
16066288202,14090309116,X636871,2025-08-08 18:47:41
08078996446,02080882857,X676979,2025-03-20 22:23:03
16049105631,26053546254,X656371,2024-03-23 19:10:18
22029134563,20012362315,X658963,2025-05-14 12:46:46
13106968050,16078756781,X631957.215,2026-11-16 14:03:08
26017065899,21120596255,X684439,2024-05-13 02:04:08
25066070679,04035110574,B310487,2024-06-21 02:31:07
17056131879,31120733813,K508473,2025-03-03 18:29:18
03037926963,03025067464,Β311905.68,2025-04-26 15:55:45
02048031608,17116035132,X639459,2024-05-20 01:20:17
01109198508,16090936082,X678813,2025-11-24 10:08:09
22029134563,17114246119,K513855,2024-10-08 00:28:43
28088884090,16083851881,B312393,2025-04-21 12:26:37
13049344733,03057523115,A401071,2026-05-23 09:52:19
26089867334,20014543282,B315189,2026-08-30 09:29:15
26038052001,21033850458,K515553,2025-12-02 06:39:55
18117707554,15074566066,X657957.11,2026-02-06 11:22:48
26086295833,13124640314,X634419,2026-09-05 23:28:51
27058235299,05011350127,X670641,2025-07-09 08:15:49
25087114134,12110009524,X638675,2025-10-08 21:05:37
17019408693,02010573356,B313605.91,2026-08-27 16:51:15
20116193875,01119931935,B313283,2024-05-16 01:10:17
03047170651,15065539938,X635255,2024-05-17 23:45:07
10086060998,07024353120,B313605.215,2025-05-22 22:57:37
06079476405,16025361834,X614479,2024-05-16 21:04:11
13129208275,31125335144,X647737,2025-07-04 06:52:31
24127417202,20075856229,X631957.228,2026-01-01 21:19:43
18079137617,04127797369,X670621,2025-08-05 18:34:26
15117326267,17034401142,X681525,2025-06-09 06:41:24
28126455528,25046743348,Β311905.125,2026-06-04 15:56:47
19036395052,01079679049,X630509,2024-07-06 01:39:56
17038578183,02077252277,X636759,2024-10-05 22:03:26
17037970004,25113943862,X610359,2025-06-19 18:05:27
01026474429,10025775580,X711379,2025-08-30 13:19:45
30069480731,13079231586,X622057,2024-10-07 11:47:41
09046647100,22107466246,X669259,2025-06-06 13:04:10
09019562411,28128680089,X645167,2026-11-19 09:13:46
29068724550,16073935084,X697859,2025-04-03 20:33:56
22079485601,14023168576,X687663,2026-04-25 02:25:21
24108863678,17110755031,X636599,2025-12-14 05:15:18
18026491407,02104938008,X633937.175,2024-04-30 19:16:48
19048935115,11066765700,X639735,2026-07-17 03:33:46
15088506830,07127402707,X646623,2024-10-30 05:20:20
25098689646,24079801775,X654335,2026-02-06 18:51:00
11017293008,15117964399,B312229,2026-07-29 05:38:14
01016353360,06030661624,X663757.47,2027-01-02 10:16:37
15097462184,31077306031,X635419,2026-03-14 02:53:42
02038186264,08040698915,X681907,2026-12-01 00:59:04
05026238460,07120731198,X641957,2025-01-10 15:29:41
17086545716,05030281663,X678961,2024-08-04 10:42:21
06117490221,09078776668,X623979,2024-12-31 11:12:06
02119001109,08108643130,X661575,2026-08-11 21:42:34
17098211492,29066534743,K517607,2024-10-22 00:42:55
19027744421,15027412813,B318443,2026-06-28 15:55:41
09029521356,01084571780,B300767,2025-08-14 15:15:02
06057292609,31018009538,X627817.16,2026-05-07 13:22:05
27128879809,25026699871,X681143,2026-08-01 17:34:42
22128600161,05102402543,X711523,2026-02-24 01:05:52
28086691989,13058278307,X651347,2024-03-10 11:40:19
29087896734,22087059359,X606161,2024-06-22 12:09:31
24108863678,09077980043,X691259,2026-04-26 09:12:34
28057037026,16105578152,X629229,2026-05-06 00:28:28
22056024879,12068012499,X632849,2026-03-05 01:37:54
28088884090,23097616867,B312307,2026-09-03 05:38:32
17060046345,24088270004,X663757.36,2024-04-01 10:01:48
30097527993,01086772237,X633937.243,2025-03-07 13:32:23
31127128715,11121894941,X634833,2024-11-30 09:50:47
16129514595,08113537885,X631957.86,2025-05-04 04:27:49
19129777350,18124456569,X672473,2026-01-05 13:24:18
14119259652,30053252231,X650335,2025-05-10 07:43:18
20036906148,12051097888,X636539,2025-01-03 15:49:07
30038495478,02028869685,X631957.1,2025-01-27 18:11:44
18046389102,30116954112,B305399,2026-11-02 14:14:55
08066384048,26035959105,X633937.151,2026-08-30 15:06:05
01099739044,24058831622,X633937.183,2024-06-23 08:54:04
05056159470,25043244428,X683957.11,2025-03-15 19:57:14
03089789067,16058057913,B316705.1,2025-05-23 02:13:01
19049805360,23084544014,X622589,2026-02-05 21:34:20
12119430692,29118880818,X636159,2025-09-27 10:58:46
01028453566,06020632793,X684439,2025-07-03 07:38:00
02036522626,26028963377,X611509,2025-12-05 16:46:53
01068388909,20037178458,X639419,2025-02-13 01:40:14
29059459431,25113870599,X626869,2024-05-20 15:46:58
30038446143,19106889913,Β311905.131,2026-08-07 21:51:31
22089289312,08126680388,X634913,2024-06-18 12:34:31
21098434179,10106474092,X714015,2024-07-02 22:43:51
10098802211,22013915661,B316677,2026-08-29 01:00:25
21059604573,08062053105,B313847,2026-11-13 16:13:15
15068957567,10041621899,K500621,2024-08-26 03:06:01
18079137617,29113654046,X719789,2025-10-08 14:56:30
30069480731,12011161095,X631957.27,2026-12-21 05:25:48
06067883458,06071287515,X709203,2025-01-17 11:00:23
18027242588,09078194937,X681759,2024-09-03 04:24:08
30129741195,08059593772,K516969,2024-03-27 15:49:11
03089789067,30118523604,X701357,2025-09-12 07:03:57
22029134563,28100100783,X610181,2024-06-27 22:22:52
01099600492,22028705786,X645957.12,2026-01-03 19:42:15
10119405681,22073856029,X606221,2024-02-04 00:34:41
08126232536,17069164106,X622771,2025-10-15 22:37:06
20027211534,30118313064,Β315905.50,2024-12-05 02:23:33
30118698533,15102326578,X632009,2026-10-06 17:30:37
27036319627,09110952485,B316705.88,2024-11-12 23:45:33
29106979805,05093058544,X718859,2026-09-21 21:21:14
02088557462,09056150070,X716039,2024-12-27 18:57:47
13086961070,23053394581,X650977,2024-10-04 09:22:47
30059828244,14064805942,X694999,2025-12-02 04:23:07
24107406710,16104651951,K501091,2024-05-10 15:54:48
27016538344,03035014001,B305997,2026-07-18 18:13:16
02127612548,01068233361,K504381,2025-02-08 18:46:36
07077275306,14091534158,X702011,2026-02-04 15:34:15
19078694844,12033441343,X635617,2024-01-11 17:57:13
18046450046,09044292584,X622805,2024-07-31 21:05:34
27016538344,27019426616,X650863,2024-11-19 20:51:19
13049573563,20095627402,B309083,2025-01-08 21:34:39
27016538344,03029875010,X666809,2024-04-18 06:45:00
13088859415,26114585965,X633439,2024-01-21 01:16:28
05056159470,01095029709,K512975.18,2025-06-19 21:33:12
23018735761,08014390037,K511725,2025-05-07 08:02:33
09109908394,04129205145,B309905,2025-09-16 13:15:35
28106015571,11101758333,B313905.7,2024-12-22 19:02:31
05076734352,26118064397,X633937.121,2026-02-03 02:05:05
17087168135,19061306346,B313605.105,2026-05-23 17:06:02
07127401967,17087261880,X644241,2026-03-15 13:44:36
01068388909,06055544799,K507031,2026-12-08 17:49:03
11076194246,20115274373,X718599,2024-11-10 02:43:03
02127612548,28101819380,X633937.124,2026-08-21 05:14:52
03018397570,10036971957,X703687,2026-03-15 03:13:38
26076648963,20091661155,X633937.177,2024-03-20 07:02:42
12087368022,21026784734,X653085,2024-06-01 15:13:39
28018712927,29090122396,X703025,2024-04-15 17:35:28
01028453566,19129976582,X650923,2025-10-01 07:31:55
17028848865,17073171511,X624387,2026-04-17 00:26:53
03089789067,14011200944,X650261,2025-01-13 12:14:40
18077668129,28085409185,X697871,2024-04-03 17:59:42
01068388909,22116371588,Β311905.50,2024-11-15 03:12:25
08118493574,05095168361,X625183,2024-07-23 23:44:10
27096518080,24058831622,X610229,2026-05-17 19:09:43
14048580529,28069154952,X674229,2026-03-03 20:14:12
24079369309,29092223874,X708819,2025-05-19 17:59:58
29018720992,31071658894,X718249,2026-10-08 12:20:26
20057853872,12085207204,X623359,2026-02-20 06:36:20
04057762832,21070132025,B313751,2024-07-12 17:57:30
02077108433,26039778715,X706505,2025-10-18 10:48:02
28088884090,22118773349,B313605.335,2024-02-24 06:46:19
07116279027,09112141886,X650521,2025-04-04 17:20:14
13036214191,27117249746,X622889,2026-11-24 03:57:11
14116970498,27019426616,Β315905.82,2024-11-08 09:41:02
13087594481,28121914781,X631957.30,2025-10-18 17:28:51
12059647060,02027999421,B309007,2026-07-04 13:02:15
28058685920,29083041482,X647249,2026-08-28 18:25:04
05118656775,04059935450,B313605.8,2024-07-07 00:25:04
17098211492,08045183683,X635621,2026-02-09 15:41:09
22069080015,22039495472,B313605.365,2025-08-14 23:44:47
14118084191,11079108950,X694867,2025-07-04 11:54:28
05076734352,09012024021,X645283,2026-07-28 19:56:01
25086572696,07114885397,X645167,2024-10-17 09:53:09
13128886585,15094751499,B313605.13,2025-11-23 20:38:24
18038419704,10054799492,A403633,2026-08-12 22:13:37
05118656775,25054740432,X635059,2024-02-12 15:55:39
03067202384,04049658208,X709401,2025-03-03 08:13:53
06067270098,05018368900,K500011,2024-01-24 14:01:34
26100094211,08039622392,X667221,2024-05-13 03:15:13
24029044439,09090414193,B306007,2024-06-19 17:12:33
16038151301,20029920923,X630229,2026-03-11 11:42:42
30109708330,28066598455,B314275,2025-06-28 14:21:30
13079080143,07020882489,A400229,2026-07-21 10:20:46
09077793434,12061939890,K515031,2026-12-10 05:46:25
24116199023,11026598680,X646887,2025-07-16 04:25:54
02107622397,01095622607,X688729,2024-08-06 08:03:47
17086545716,27041472612,X668181,2025-10-21 18:32:10
04119239492,28108485514,X608001,2024-08-02 12:10:57
01037803167,12111159428,X621061,2025-08-20 05:31:50
15117326267,27091112121,X719399,2025-03-09 18:08:50
21036855841,15045732895,K514979,2026-01-05 23:18:18
19106310004,25019421830,X618563,2025-05-18 06:05:55
02036522626,25078857355,X708779,2025-07-25 06:43:08
28057037026,02030372652,X633937.227,2024-03-10 09:05:20
25047108185,30044132792,Β315905.19,2026-08-06 20:07:35
11019339247,11085935392,K501071,2026-01-03 17:01:56
08070044736,05059151878,B304251,2024-01-16 14:59:16
08078996446,12078239474,X645957.9,2026-12-18 15:09:18
28099851293,28087137845,A400081,2027-01-05 16:39:07
31019131751,01089503921,X650319,2026-12-22 22:24:44
07079445783,07018775944,X699757,2025-09-27 23:57:12
23116959070,08045175773,B314121,2026-12-06 17:12:34
09037229373,25038645111,B313987,2025-11-04 19:51:08
13088859415,12031326965,X647663,2026-02-26 03:49:04
06076944552,26084114066,B313605.35,2026-04-28 06:06:35
07017002380,31104263750,X627063,2026-07-21 16:26:47
03047764549,20037421299,K514123,2025-06-14 09:50:07
15026765760,30052003608,X614519,2024-06-07 10:18:30
16016380461,17088513405,B313605.360,2024-08-30 00:55:33
12037359314,24064371893,X636545,2026-11-11 07:11:49
14076889096,10055660280,X693169,2026-06-06 06:24:12
16016380461,25094418027,X663757.38,2026-04-24 15:53:25
02078022955,16124261052,X719233,2026-11-22 08:34:51
13049573563,07043278947,X635521,2026-04-15 15:27:39
13019416697,28066249334,X653681,2024-03-07 18:08:31
22057224885,03045243457,K504121,2026-12-26 00:14:56
26027420823,08044404981,B316641,2025-06-12 04:32:02
22056024879,20089406463,X665743,2025-03-19 16:25:00
20087701735,27096215869,A401621,2025-12-04 02:26:45
08129616542,24069934771,Β311905.111,2024-07-06 13:37:46
13087594481,20068806057,X646963,2024-12-05 06:26:39
26076648963,04128551671,X636519,2024-05-18 20:57:12
01099739044,28010091770,X719067,2026-06-14 09:28:16
20036906148,03065802397,Β311905.133,2026-04-14 13:19:28
08117909654,23085386921,B311211,2024-02-19 03:49:05
14027204472,29127181934,X653089,2026-08-21 07:08:38
27029081490,07098786457,B313413,2024-09-19 08:38:02
09109908394,30014000248,K504141,2026-03-14 07:05:18
18039105982,03025234423,K508831,2026-01-31 00:48:52
26067992049,12118444356,X633937.18,2026-07-16 06:26:26
05119034270,05024360922,X622349,2026-01-09 03:40:28
30039993909,31037396905,X631957.113,2026-09-24 05:35:56
01048115081,11076576727,X622821,2024-09-04 23:16:04
08058930587,20029415134,B313605.295,2026-04-01 04:43:37
02038186264,04035764174,X683149,2024-01-22 19:03:11
26109779226,24086827938,Β315905.103,2026-02-17 08:05:32
22057255499,06024227886,B303955,2026-04-14 07:21:24
08117665345,11056561588,X639399,2025-03-28 02:32:15
26109596245,03089764950,X705991,2024-08-01 21:30:32
18027242588,29120511214,B313243,2026-07-13 04:18:11
