ΑΜΚΑ_ΙΑΤΡΟΥ,ΑΡΙΘΜΟΣ_ΑΔΕΙΑΣ_ΙΣ,ΕΙΔΙΚΟΤΗΤΑ,ΒΑΘΜΙΔΑ,ΑΜΚΑ_ΕΠΟΠΤΗ
24068366431,MED-731973,Επειγοντολόγος,Επιμελητής Β΄,
26086400932,MED-969018,Καρδιολόγος,Ειδικευόμενος,08038064163
03047170651,MED-306517,Εντατικολόγος,Επιμελητής Α΄,
01126898842,MED-456996,Οφθαλμίατρος,Διευθυντής,
01028453566,MED-898279,Ενδοκρινολόγος,Επιμελητής Β΄,19067764454
27127004840,MED-979105,Γυναικολόγος,Επιμελητής Α΄,
22077399915,MED-506792,Πνευμονολόγος,Επιμελητής Β΄,15087602276
03079784188,MED-218250,Οφθαλμίατρος,Επιμελητής Β΄,
29087896734,MED-181751,Πνευμονολόγος,Επιμελητής Α΄,
17049454625,MED-534491,Γυναικολόγος,Ειδικευόμενος,09058303960
15036205266,MED-864599,Πνευμονολόγος,Επιμελητής Α΄,
27119559754,MED-286153,Επειγοντολόγος,Επιμελητής Β΄,18038419704
06067129338,MED-065672,Ορθοπεδικός,Διευθυντής,
07017002380,MED-213320,Ογκολόγος,Ειδικευόμενος,06086096998
04107581800,MED-936638,Γυναικολόγος,Επιμελητής Α΄,
10038736913,MED-654577,Ορθοπεδικός,Ειδικευόμενος,19067764454
07039120569,MED-162732,Οφθαλμίατρος,Επιμελητής Β΄,17129595144
23038301805,MED-518631,Γυναικολόγος,Διευθυντής,
02018629858,MED-207928,Ορθοπεδικός,Επιμελητής Β΄,20036906148
21037222305,MED-681788,Γυναικολόγος,Επιμελητής Β΄,08117665345
21017629522,MED-430301,Γαστρεντερολόγος,Επιμελητής Β΄,22056473676
25067343186,MED-528191,Ενδοκρινολόγος,Διευθυντής,
13049573563,MED-618151,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,04049765143
19119585662,MED-596468,Ογκολόγος,Επιμελητής Α΄,
04077053309,MED-560978,Ενδοκρινολόγος,Ειδικευόμενος,09058303960
16038345197,MED-187730,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,01058889994
16108629101,MED-077043,Ενδοκρινολόγος,Ειδικευόμενος,21107026591
18027242588,MED-152560,Παιδίατρος,Ειδικευόμενος,18048136821
30087210990,MED-556973,Ουρολόγος,Ειδικευόμενος,20027156874
12087368022,MED-290438,Ογκολόγος,Ειδικευόμενος,04027352612
26086295833,MED-711379,Πνευμονολόγος,Επιμελητής Β΄,17116460629
01099600492,MED-714716,Γυναικολόγος,Επιμελητής Α΄,
14026323754,MED-593853,Ογκολόγος,Ειδικευόμενος,19067764454
19028204618,MED-892825,Εντατικολόγος,Επιμελητής Β΄,19119585662
24059714537,MED-701679,Παιδίατρος,Επιμελητής Β΄,01126898842
29018720992,MED-783455,Παιδίατρος,Επιμελητής Α΄,
01109198508,MED-989890,Ορθοπεδικός,Επιμελητής Β΄,
06129006779,MED-187382,Ογκολόγος,Ειδικευόμενος,18048136821
16098922011,MED-094960,Νευρολόγος,Επιμελητής Α΄,
07126830003,MED-297898,Πνευμονολόγος,Επιμελητής Α΄,
18079137617,MED-133084,Επειγοντολόγος,Ειδικευόμενος,01129618953
25126627516,MED-115923,Παιδίατρος,Επιμελητής Β΄,04027352612
05038245675,MED-983529,Ουρολόγος,Ειδικευόμενος,29087896734
10049377861,MED-689837,Γαστρεντερολόγος,Ειδικευόμενος,24059714537
07128933392,MED-246172,Νευρολόγος,Επιμελητής Α΄,
03077355047,MED-467922,Καρδιολόγος,Ειδικευόμενος,27038876062
09046647100,MED-946244,Ουρολόγος,Επιμελητής Β΄,14117875826
19029442004,MED-722632,Γαστρεντερολόγος,Επιμελητής Β΄,
20066498687,MED-575331,Πνευμονολόγος,Ειδικευόμενος,31036764120
29038506566,MED-128280,Ενδοκρινολόγος,Ειδικευόμενος,31036764120
24119277882,MED-629038,Χειρουργός,Ειδικευόμενος,29018364310
14048983004,MED-487014,Οφθαλμίατρος,Επιμελητής Β΄,24127184919
23017282546,MED-545332,Επειγοντολόγος,Ειδικευόμενος,06086096998
22056473676,MED-737346,Καρδιολόγος,Επιμελητής Α΄,
04056123282,MED-218697,Ενδοκρινολόγος,Ειδικευόμενος,23018017465
15097845869,MED-575323,Ωτορινολαρυγγολόγος,Ειδικευόμενος,15068993499
19026775246,MED-109636,Οφθαλμίατρος,Ειδικευόμενος,07119294567
15039665806,MED-678501,Επειγοντολόγος,Επιμελητής Α΄,
28086691989,MED-453628,Καρδιολόγος,Ειδικευόμενος,31087386956
28057037026,MED-184926,Πνευμονολόγος,Διευθυντής,
24097463592,MED-387027,Ογκολόγος,Επιμελητής Α΄,
18047974063,MED-325103,Επειγοντολόγος,Επιμελητής Β΄,
03117001638,MED-483985,Ογκολόγος,Επιμελητής Β΄,21107026591
11069420002,MED-096087,Οφθαλμίατρος,Ειδικευόμενος,07096320081
08107948767,MED-597479,Ενδοκρινολόγος,Επιμελητής Α΄,
01058889994,MED-492057,Ωτορινολαρυγγολόγος,Επιμελητής Α΄,
22056024879,MED-777038,Ογκολόγος,Επιμελητής Α΄,
04037503050,MED-231301,Ουρολόγος,Επιμελητής Β΄,
24079369309,MED-668762,Ωτορινολαρυγγολόγος,Ειδικευόμενος,25108939007
19097671585,MED-912942,Ενδοκρινολόγος,Επιμελητής Β΄,29018720992
23077968309,MED-651470,Πνευμονολόγος,Επιμελητής Β΄,22089289312
19027744421,MED-605327,Πνευμονολόγος,Ειδικευόμενος,14048983004
24128760642,MED-088626,Ουρολόγος,Επιμελητής Α΄,
11117481536,MED-391235,Ωτορινολαρυγγολόγος,Ειδικευόμενος,19088103483
20118029005,MED-007937,Επειγοντολόγος,Επιμελητής Α΄,
14087685423,MED-666052,Ωτορινολαρυγγολόγος,Ειδικευόμενος,25067470203
02088557462,MED-207297,Ουρολόγος,Ειδικευόμενος,21059604573
27128879809,MED-112482,Ουρολόγος,Ειδικευόμενος,04037503050
17086545716,MED-660194,Οφθαλμίατρος,Ειδικευόμενος,15128940931
15017994679,MED-230184,Επειγοντολόγος,Ειδικευόμενος,26076648963
16037267290,MED-902275,Πνευμονολόγος,Ειδικευόμενος,03049115587
07058449408,MED-333113,Γαστρεντερολόγος,Ειδικευόμενος,20047493220
21107446461,MED-641709,Νευρολόγος,Ειδικευόμενος,30068836428
30109708330,MED-833500,Οφθαλμίατρος,Ειδικευόμενος,19049805360
27089112158,MED-247360,Νευρολόγος,Ειδικευόμενος,21036855841
27028634014,MED-762248,Ενδοκρινολόγος,Ειδικευόμενος,20056259580
22046863505,MED-625249,Νευρολόγος,Ειδικευόμενος,14027204472
13076963118,MED-896657,Ουρολόγος,Επιμελητής Β΄,03126963930
03049115587,MED-568733,Οφθαλμίατρος,Επιμελητής Α΄,
15066445561,MED-934741,Γυναικολόγος,Ειδικευόμενος,07077598311
04049765143,MED-987259,Γυναικολόγος,Διευθυντής,
02038186264,MED-597768,Επειγοντολόγος,Επιμελητής Β΄,03126963930
02078022955,MED-164072,Ογκολόγος,Ειδικευόμενος,27039198147
19117034799,MED-690564,Ορθοπεδικός,Επιμελητής Β΄,25059138149
03126963930,MED-588423,Ωτορινολαρυγγολόγος,Επιμελητής Α΄,
01129618953,MED-679973,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,07077275306
02049297106,MED-144060,Γαστρεντερολόγος,Ειδικευόμενος,24127184919
23059304171,MED-018408,Οφθαλμίατρος,Ειδικευόμενος,04097289185
28058685920,MED-964139,Γυναικολόγος,Επιμελητής Β΄,
05017393553,MED-400414,Καρδιολόγος,Ειδικευόμενος,19067764454
20078593378,MED-402802,Ενδοκρινολόγος,Επιμελητής Β΄,04107581800
25059138149,MED-821471,Χειρουργός,Διευθυντής,
31128168449,MED-264132,Παιδίατρος,Ειδικευόμενος,24097463592
26119233090,MED-529209,Γυναικολόγος,Ειδικευόμενος,18077668129
18046450046,MED-151758,Παιδίατρος,Ειδικευόμενος,06127921077
25108359031,MED-698253,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,22066909048
23018017465,MED-340789,Γυναικολόγος,Επιμελητής Α΄,
21036855841,MED-903372,Χειρουργός,Επιμελητής Β΄,07119294567
20018969312,MED-528378,Εντατικολόγος,Ειδικευόμενος,03067202384
25108939007,MED-055451,Ενδοκρινολόγος,Διευθυντής,
13106968050,MED-430808,Ενδοκρινολόγος,Ειδικευόμενος,08066384048
15068993499,MED-887723,Πνευμονολόγος,Επιμελητής Α΄,
23099549068,MED-784072,Παιδίατρος,Επιμελητής Α΄,
06056298788,MED-820246,Γυναικολόγος,Ειδικευόμενος,04097289185
31077414694,MED-907498,Οφθαλμίατρος,Επιμελητής Β΄,08117716641
18067010293,MED-593739,Ορθοπεδικός,Ειδικευόμενος,08038064163
02077108433,MED-453693,Γυναικολόγος,Ειδικευόμενος,23038301805
10097761798,MED-823813,Οφθαλμίατρος,Επιμελητής Β΄,03049115587
03067202384,MED-272685,Ωτορινολαρυγγολόγος,Διευθυντής,
05118656775,MED-611910,Ογκολόγος,Ειδικευόμενος,17129595144
15087602276,MED-662563,Ογκολόγος,Επιμελητής Α΄,
27057330784,MED-292405,Γαστρεντερολόγος,Ειδικευόμενος,25108359031
13087594481,MED-346354,Παιδίατρος,Ειδικευόμενος,14036730831
22066909048,MED-157430,Νευρολόγος,Επιμελητής Α΄,
28088884090,MED-827485,Ενδοκρινολόγος,Ειδικευόμενος,17129595144
09058303960,MED-460302,Ογκολόγος,Επιμελητής Α΄,
06028417733,MED-437785,Επειγοντολόγος,Επιμελητής Α΄,
11019480682,MED-576289,Ογκολόγος,Επιμελητής Β΄,23099549068
16129514595,MED-391548,Καρδιολόγος,Ειδικευόμενος,07077598311
24116199023,MED-899688,Πνευμονολόγος,Ειδικευόμενος,29087896734
26076648963,MED-719534,Χειρουργός,Επιμελητής Β΄,28057037026
07077598311,MED-299882,Νευρολόγος,Επιμελητής Α΄,
12057155300,MED-480313,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,
07127401967,MED-580733,Ωτορινολαρυγγολόγος,Επιμελητής Α΄,
19109063851,MED-513207,Καρδιολόγος,Επιμελητής Β΄,11087036989
17059777666,MED-272789,Γυναικολόγος,Διευθυντής,
25098689646,MED-901690,Πνευμονολόγος,Επιμελητής Β΄,04027352612
04097289185,MED-467056,Οφθαλμίατρος,Επιμελητής Β΄,08117716641
28068899789,MED-531624,Παιδίατρος,Επιμελητής Β΄,
19049805360,MED-714024,Οφθαλμίατρος,Επιμελητής Β΄,
31056169071,MED-695848,Γαστρεντερολόγος,Επιμελητής Β΄,25078560613
01048115081,MED-436053,Εντατικολόγος,Επιμελητής Α΄,
31127128715,MED-460582,Εντατικολόγος,Διευθυντής,
25078560613,MED-226720,Εντατικολόγος,Επιμελητής Α΄,
30076480256,MED-903987,Επειγοντολόγος,Επιμελητής Α΄,
14117875826,MED-811859,Ορθοπεδικός,Διευθυντής,
31087386956,MED-681542,Γυναικολόγος,Επιμελητής Β΄,30076480256
18038419704,MED-455163,Οφθαλμίατρος,Διευθυντής,
06067270098,MED-435847,Ορθοπεδικός,Ειδικευόμενος,30066643000
17098211492,MED-262376,Ορθοπεδικός,Επιμελητής Α΄,
15128940931,MED-653179,Ωτορινολαρυγγολόγος,Επιμελητής Α΄,
