ΑΜΚΑ_ΔΙΟΙΚΗΤΙΚΟΥ,ΡΟΛΟΣ,ΓΡΑΦΕΙΟ_ΕΡΓΑΣΙΑΣ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
13029194367,Υπάλληλος Υποδοχής,Γραφείο 478,ΩΡΛ
24029044439,Γραμματέας,Γραφείο 426,Χειρουργική
12059642917,Υπάλληλος Υποδοχής,Γραφείο 278,Καρδιολογία
24028237708,Γραμματέας,Γραφείο 127,Καρδιολογία
22018991557,Γραμματέας,Γραφείο 258,Πνευμονολογία
15087997048,Γραμματέας,Γραφείο 102,Οφθαλμολογία
15066419340,Υπάλληλος Υποδοχής,Γραφείο 300,Ενδοκρινολογία
17060046345,Λογιστής,Γραφείο 463,Ορθοπεδική
28059567514,Λογιστής,Γραφείο 394,Γυναικολογία
17068371314,Γραμματέας,Γραφείο 116,Πνευμονολογία
14109194640,Υπάλληλος Υποδοχής,Γραφείο 214,Πνευμονολογία
16077362163,Λογιστής,Γραφείο 130,Ουρολογία
23087652129,Υπάλληλος Υποδοχής,Γραφείο 356,Επείγοντα
03056212030,Υπάλληλος Υποδοχής,Γραφείο 408,Νευρολογία
30059598934,Υπάλληλος Υποδοχής,Γραφείο 257,Ουρολογία
25047807193,Λογιστής,Γραφείο 403,Γυναικολογία
07049776563,Γραμματέας,Γραφείο 178,ΩΡΛ
25047108185,Υπάλληλος Υποδοχής,Γραφείο 407,Γαστρεντερολογία
05127849415,Λογιστής,Γραφείο 453,Πνευμονολογία
27069498843,Υπάλληλος Υποδοχής,Γραφείο 257,Πνευμονολογία
22017250546,Γραμματέας,Γραφείο 495,Ουρολογία
28048253867,Γραμματέας,Γραφείο 176,ΜΕΘ
01088554347,Υπάλληλος Υποδοχής,Γραφείο 144,ΜΕΘ
24128976469,Υπάλληλος Υποδοχής,Γραφείο 121,Ογκολογία
17038578183,Γραμματέας,Γραφείο 178,Γαστρεντερολογία
22079485601,Λογιστής,Γραφείο 464,Ογκολογία
07126011914,Λογιστής,Γραφείο 104,Ορθοπεδική
20018822884,Λογιστής,Γραφείο 347,ΩΡΛ
27038868673,Υπάλληλος Υποδοχής,Γραφείο 149,Νευρολογία
20046686404,Υπάλληλος Υποδοχής,Γραφείο 342,Γυναικολογία
29049650848,Υπάλληλος Υποδοχής,Γραφείο 384,Καρδιολογία
20057853872,Υπάλληλος Υποδοχής,Γραφείο 254,Γαστρεντερολογία
15087050344,Υπάλληλος Υποδοχής,Γραφείο 485,ΜΕΘ
03126551214,Γραμματέας,Γραφείο 255,Ογκολογία
15089599298,Γραμματέας,Γραφείο 294,Καρδιολογία
14118084191,Γραμματέας,Γραφείο 139,Επείγοντα
16066786461,Λογιστής,Γραφείο 253,Παιδιατρική
08117909654,Υπάλληλος Υποδοχής,Γραφείο 428,Παιδιατρική
26039888215,Λογιστής,Γραφείο 327,Γυναικολογία
14109654575,Γραμματέας,Γραφείο 374,Νευρολογία
04059387205,Λογιστής,Γραφείο 388,Παιδιατρική
30129741195,Υπάλληλος Υποδοχής,Γραφείο 470,Ογκολογία
11017293008,Γραμματέας,Γραφείο 135,Ενδοκρινολογία
31059719554,Υπάλληλος Υποδοχής,Γραφείο 332,Χειρουργική
21118287193,Λογιστής,Γραφείο 275,Ουρολογία
03018397570,Λογιστής,Γραφείο 149,Νευρολογία
09028368537,Γραμματέας,Γραφείο 460,Νευρολογία
04117489700,Γραμματέας,Γραφείο 187,Ογκολογία
04047958814,Γραμματέας,Γραφείο 318,Ογκολογία
13026249879,Γραμματέας,Γραφείο 239,Γαστρεντερολογία
24048903716,Λογιστής,Γραφείο 254,Καρδιολογία
12059647060,Υπάλληλος Υποδοχής,Γραφείο 247,ΩΡΛ
05066544429,Γραμματέας,Γραφείο 129,Ορθοπεδική
