ΑΜΚΑ_ΙΑΤΡΟΥ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
10028991768,Χειρουργική
08097338699,Οφθαλμολογία
27016538344,Νευρολογία
19038209414,Ουρολογία
04119372013,Χειρουργική
26027420823,Ογκολογία
19067764454,Οφθαλμολογία
27038876062,Οφθαλμολογία
29069575442,Επείγοντα
12057413455,ΩΡΛ
06129398379,Χειρουργική
04028115193,Χειρουργική
23018735761,ΩΡΛ
05069279544,Νευρολογία
21079047523,ΜΕΘ
14036730831,Ογκολογία
18078628006,Παιδιατρική
01078222862,Γαστρεντερολογία
28027843113,Παιδιατρική
27039198147,Ουρολογία
03089789067,Χειρουργική
04119239492,ΜΕΘ
08038064163,Χειρουργική
18117707554,Γαστρεντερολογία
20056259580,Επείγοντα
06066504974,Νευρολογία
16027098320,Πνευμονολογία
14017779931,Παιδιατρική
06086096998,Νευρολογία
02036898951,Ογκολογία
28126455528,Χειρουργική
24107406710,Ουρολογία
07038155297,Ορθοπεδική
24068366431,ΩΡΛ
26086400932,Επείγοντα
03047170651,Οφθαλμολογία
01126898842,Ουρολογία
01028453566,Πνευμονολογία
27127004840,Οφθαλμολογία
22077399915,Ουρολογία
03079784188,Επείγοντα
29087896734,Ορθοπεδική
17049454625,Ουρολογία
15036205266,Νευρολογία
27119559754,Χειρουργική
06067129338,Γυναικολογία
07017002380,ΜΕΘ
04107581800,Οφθαλμολογία
10038736913,Επείγοντα
07039120569,Γυναικολογία
23038301805,Γυναικολογία
02018629858,Γαστρεντερολογία
21037222305,Ενδοκρινολογία
21017629522,Ενδοκρινολογία
25067343186,Οφθαλμολογία
13049573563,Ογκολογία
19119585662,Γυναικολογία
04077053309,Ορθοπεδική
16038345197,Γυναικολογία
16108629101,Ορθοπεδική
18027242588,Νευρολογία
30087210990,Καρδιολογία
12087368022,Ουρολογία
26086295833,ΜΕΘ
01099600492,Γυναικολογία
14026323754,Χειρουργική
19028204618,Παιδιατρική
24059714537,ΩΡΛ
29018720992,Πνευμονολογία
01109198508,Επείγοντα
06129006779,Γαστρεντερολογία
16098922011,ΩΡΛ
07126830003,Καρδιολογία
18079137617,Ορθοπεδική
25126627516,Οφθαλμολογία
05038245675,ΩΡΛ
10049377861,Νευρολογία
07128933392,Γυναικολογία
03077355047,Οφθαλμολογία
09046647100,Ενδοκρινολογία
19029442004,Ενδοκρινολογία
20066498687,ΩΡΛ
29038506566,ΜΕΘ
24119277882,Επείγοντα
14048983004,Οφθαλμολογία
23017282546,Παιδιατρική
22056473676,ΩΡΛ
04056123282,Γυναικολογία
15097845869,Οφθαλμολογία
19026775246,Ουρολογία
15039665806,Ορθοπεδική
28086691989,Ορθοπεδική
28057037026,Χειρουργική
24097463592,ΜΕΘ
18047974063,Νευρολογία
03117001638,Ογκολογία
11069420002,Καρδιολογία
08107948767,Γαστρεντερολογία
01058889994,Γυναικολογία
22056024879,Ενδοκρινολογία
04037503050,ΜΕΘ
24079369309,Ουρολογία
19097671585,Καρδιολογία
23077968309,Επείγοντα
19027744421,Ορθοπεδική
24128760642,Ογκολογία
11117481536,Ουρολογία
20118029005,ΩΡΛ
14087685423,Πνευμονολογία
02088557462,Γυναικολογία
27128879809,Παιδιατρική
17086545716,Παιδιατρική
15017994679,ΜΕΘ
16037267290,Χειρουργική
07058449408,Πνευμονολογία
21107446461,Νευρολογία
30109708330,Παιδιατρική
27089112158,Νευρολογία
27028634014,Επείγοντα
22046863505,Ορθοπεδική
13076963118,Ορθοπεδική
03049115587,Ογκολογία
15066445561,Γαστρεντερολογία
04049765143,Χειρουργική
02038186264,Γαστρεντερολογία
02078022955,Γυναικολογία
19117034799,Νευρολογία
03126963930,Χειρουργική
01129618953,Επείγοντα
02049297106,Ενδοκρινολογία
23059304171,ΜΕΘ
28058685920,ΜΕΘ
05017393553,Καρδιολογία
20078593378,Καρδιολογία
25059138149,Ορθοπεδική
31128168449,Ογκολογία
26119233090,Παιδιατρική
18046450046,Παιδιατρική
25108359031,Καρδιολογία
23018017465,Ογκολογία
21036855841,Γυναικολογία
20018969312,ΜΕΘ
25108939007,Ενδοκρινολογία
13106968050,Ογκολογία
15068993499,ΜΕΘ
23099549068,Νευρολογία
06056298788,Ενδοκρινολογία
31077414694,Ουρολογία
18067010293,ΩΡΛ
02077108433,Πνευμονολογία
10097761798,Πνευμονολογία
03067202384,Οφθαλμολογία
05118656775,Γυναικολογία
15087602276,Ογκολογία
27057330784,Καρδιολογία
13087594481,Ουρολογία
22066909048,Πνευμονολογία
28088884090,Νευρολογία
09058303960,Ενδοκρινολογία
06028417733,Νευρολογία
11019480682,Παιδιατρική
16129514595,Νευρολογία
24116199023,Γυναικολογία
26076648963,Καρδιολογία
07077598311,Οφθαλμολογία
12057155300,Ενδοκρινολογία
07127401967,Ενδοκρινολογία
19109063851,Επείγοντα
17059777666,Παιδιατρική
25098689646,Επείγοντα
04097289185,Ορθοπεδική
28068899789,Χειρουργική
19049805360,Γαστρεντερολογία
31056169071,Πνευμονολογία
01048115081,Ογκολογία
31127128715,Ουρολογία
25078560613,Πνευμονολογία
30076480256,Επείγοντα
14117875826,Χειρουργική
31087386956,Παιδιατρική
18038419704,Ενδοκρινολογία
06067270098,Ενδοκρινολογία
17098211492,ΜΕΘ
15128940931,Ενδοκρινολογία
